time,X,Y,Z
8.985111385,2.552218914,14.50766563,-0.01316810958
8.987104458,2.480392933,14.51724243,0.1544260085
8.989097531,2.418143749,14.52203083,0.293289721
8.991090552,2.370259762,14.51724243,0.4177882075
8.993083572,2.336740971,14.4502039,0.494402647
8.995076593,2.303221941,14.37837791,0.5764040351
8.997069614,2.255337954,14.27303314,0.5524620414
8.999062635,2.245761156,14.12459278,0.5285200477
9.001055656,2.183511972,13.95699883,0.4417302012
9.003048677,2.121262789,13.75049877,0.293289721
9.005041697,2.078166962,13.55417442,0.0921767652
9.007034718,2.025494576,13.35785007,-0.06105214357
9.009027739,1.987187386,13.14716053,-0.2382230759
9.01102076,2.015917778,12.95562363,-0.3579331636
9.013013781,2.025494576,12.78802967,-0.4824316502
9.015006802,1.982398987,12.64916611,-0.6075286865
9.016999822,1.958456993,12.47618484,-0.7272387743
9.018992843,1.953668594,12.29422569,-0.8230068088
9.020985864,1.953668594,12.12663174,-0.8948329091
9.022978885,1.929726601,11.96382618,-0.9475052953
9.024971906,1.886630893,11.83932781,-0.9906009436
9.026964927,1.853112102,11.6669445,-1.000177741
9.028957947,1.848323703,11.53286934,-1.000177741
9.030950968,1.78128612,11.37425327,-0.9522937536
9.032943989,1.738190413,11.24496651,-0.9427168965
9.03493701,1.685518026,11.14441013,-0.9475052953
9.036930031,1.647210717,11.02948856,-0.9427168965
9.038923052,1.618480325,10.91456699,-0.8948329091
9.040916072,1.59932673,10.80443382,-0.866102457
9.042909093,1.584961534,10.70866585,-0.8230068088
9.044902114,1.56101954,10.64162827,-0.7799112201
9.046895135,1.575384736,10.59374428,-0.7416039705
9.048888156,1.570596337,10.56501389,-0.7224503756
9.050881177,1.580173135,10.5267067,-0.6506243348
9.052874197,1.589749932,10.5075531,-0.5781996846
9.054867218,1.59932673,10.5075531,-0.4967968464
9.056860239,1.613691926,10.5075531,-0.4249708056
9.05885326,1.63763392,10.54586029,-0.3387795389
9.060846281,1.623268723,10.61289787,-0.2717418969
9.062839302,1.642422318,10.67993546,-0.1855506301
9.064832322,1.628057122,10.77091503,-0.09457096457
9.066825343,1.642422318,10.86189461,-0.01316810958
9.068818364,1.623268723,10.95287418,0.07302315533
9.070811385,1.618480325,11.05343056,0.1496376097
9.072804406,1.584961534,11.14919853,0.2549824715
9.074797427,1.541267395,11.2641201,0.326808542
9.076790447,1.512536883,11.38383007,0.4177882075
9.078783468,1.464652896,11.4700222,0.4417302012
9.080776489,1.397615194,11.59990692,0.4991910458
9.08276951,1.373673201,11.70525169,0.5333084464
9.084762531,1.340154409,11.81538582,0.5476736426
9.086755552,1.316212416,11.93509579,0.4800374508
9.088748572,1.282693505,12.02607536,0.4034229815
9.090741593,1.249174714,12.14578533,0.278924495
9.092734614,1.234809518,12.22718811,0.1161187813
9.094727635,1.18692553,12.34689808,-0.1280897856
9.096720656,1.139041424,12.44266605,-0.4584896266
9.098713677,1.07679224,12.50970364,-0.8804676533
9.100706697,1.038484931,12.52406883,-1.162983418
9.102699718,1.019331336,12.48576164,-1.297058821
9.104692739,0.9858125448,12.48097324,-1.388038397
9.10668576,0.9475052953,12.42830086,-1.455076098
9.108678781,0.933140099,12.34210968,-1.407191992
9.110671802,0.9475052953,12.22718811,-1.268328309
9.112664822,1.000177741,12.06917095,-1.105522633
9.114657843,1.038484931,11.93988419,-0.8996213078
9.116650864,1.043273449,11.82496262,-0.684143126
9.118643885,1.062427044,11.6956749,-0.4728548229
9.120636958,1.134253025,11.53286934,-0.1855506301
9.122630031,1.215655923,11.35988808,0.1496376097
9.124623104,1.388038397,11.22102451,0.460883826
9.126616177,1.52690208,11.05821896,0.7296329737
9.128609249,1.685518026,10.96245098,1.021725535
9.130602322,1.89620769,10.76612663,1.241992116
9.132595395,2.178723574,10.61289787,1.529296279
9.134588468,2.437297344,10.53149509,1.750161409
9.136581541,2.729988575,10.43093872,1.927332401
9.138574614,3.074753523,10.27711105,2.200271368
9.140567687,3.4530375,10.18134308,2.540247917
9.14256076,3.75470686,10.06163311,2.775478363
9.144553833,3.875015497,9.860519409,3.038840532
9.146546906,4.061763287,9.822212219,3.354875088
9.148539979,4.248510838,9.865307808,3.781043053
9.150533052,4.435258865,9.860519409,4.078522682
9.152526124,4.53102684,9.755174637,4.447229862
9.154519197,4.574122429,9.688137054,4.734533787
9.15651227,4.626794815,9.645041466,5.027225018
9.158505343,4.674678802,9.582792282,5.228337765
9.160498416,4.636371613,9.501389503,5.266644955
