time,X,Y,Z
9.439524249,-1.421420336,1.671750069,-0.07682993263
9.44151727,-1.416094184,1.674945831,-0.08854749799
9.443510291,-1.409702778,1.663228154,-0.09919982404
9.445503312,-1.401180863,1.636597395,-0.1055912226
9.447496333,-1.384137154,1.599314213,-0.1130478531
9.449489354,-1.361767292,1.543922067,-0.1205044836
9.451482374,-1.329810262,1.480008125,-0.1247654185
9.453475395,-1.29252708,1.40544188,-0.127961114
9.455468416,-1.249917746,1.322353601,-0.1311568171
9.457461437,-1.198786616,1.231808782,-0.1364829838
9.459454458,-1.14339447,1.142329216,-0.1396786869
9.461447479,-1.083741426,1.047523499,-0.1439396143
9.463440499,-1.020892739,0.9537830353,-0.1471353173
9.46543352,-0.9591091871,0.8685643673,-0.1513962448
9.467426541,-0.8941299915,0.7854762077,-0.1556571722
9.469419562,-0.8323464394,0.7141056061,-0.1567224115
9.471412583,-0.7748238444,0.6564498544,-0.1599181145
9.473405604,-0.7236927152,0.6085143685,-0.1620485783
9.475398624,-0.6778876781,0.5744268894,-0.1631138027
9.477391645,-0.637408793,0.5584484339,-0.1620485783
9.479384666,-0.6086475253,0.5552527308,-0.1577876359
9.481377687,-0.5841471553,0.5616441369,-0.1545919478
9.483370708,-0.5681686401,0.5722964406,-0.149265781
9.485363729,-0.5564510822,0.5904054046,-0.1418091506
9.487356749,-0.5468640327,0.6223623753,-0.1268958896
9.48934977,-0.5426030755,0.6617760062,-0.1119826213
9.491342791,-0.5415378213,0.7066489458,-0.09280842543
9.493335812,-0.5404726267,0.750323534,-0.07256899774
9.495328833,-0.5394073725,0.7886719108,-0.0512643382
9.497321854,-0.5372769237,0.8174331784,-0.02782921307
9.499314874,-0.5308855176,0.8408682942,-0.004394086078
9.501307895,-0.5181027055,0.8536511064,0.02117150649
9.503300916,-0.5021241903,0.8504554033,0.04780233279
9.505293937,-0.4808195531,0.8323464394,0.07549838722
9.507286958,-0.4563191831,0.8003894687,0.1021292135
9.509279979,-0.4254274368,0.7513887286,0.1266295761
9.511272999,-0.3902747631,0.6862763762,0.1500647068
9.51326602,-0.3508611321,0.6149057746,0.1724345982
9.515259041,-0.3103822768,0.5275566578,0.1926740259
9.517252062,-0.2699034214,0.4338161349,0.2118482143
9.519245083,-0.2272941023,0.328358084,0.2299571782
9.521238104,-0.1814890802,0.2175738513,0.2470009029
9.523231124,-0.1378145218,0.1131810099,0.2629793882
9.525224145,-0.08987903595,0.007722939365,0.277892679
9.527217166,-0.04726971686,-0.1009308323,0.2896102369
9.529210187,-0.001464695437,-0.2021279633,0.3023930192
9.531203208,0.04447348043,-0.2937380075,0.3130453527
9.533196229,0.08814803511,-0.3757609427,0.3279586136
9.535189249,0.1318225861,-0.4428706169,0.3418066502
9.53718227,0.1776276082,-0.5014584661,0.3588503897
9.539175343,0.222367391,-0.5525896549,0.3758940995
9.541168416,0.2660419345,-0.5866770744,0.3918725848
9.543161489,0.3118469715,-0.6079817414,0.411046803
9.545154562,0.3576519787,-0.6143731475,0.4312862158
9.547147635,0.4034570158,-0.6079817414,0.4493951797
9.549140708,0.4503272474,-0.5888075829,0.4653736651
9.551133781,0.5014584661,-0.5611115098,0.480286926
9.553126854,0.5493939519,-0.5302197337,0.4952002168
9.555119927,0.6015903354,-0.5014584661,0.5069177747
9.557112999,0.6569824815,-0.4801537991,0.5143743753
9.559106072,0.712374568,-0.4663057625,0.5218310356
9.561099145,0.7677667141,-0.4663057625,0.5228962898
9.563092218,0.8242240548,-0.4780233204,0.5228962898
9.565085291,0.8796161413,-0.4971975088,0.5197005868
9.567078364,0.9360735416,-0.522763133,0.5175700784
9.569071437,0.9946613312,-0.5568505526,0.5143743753
9.57106451,1.044727325,-0.5951989293,0.5101134777
9.573057583,1.100119352,-0.6367430687,0.5079829693
9.575050656,1.151250601,-0.6782871485,0.5037220716
9.577043729,1.205577493,-0.7251573801,0.5005263686
9.579036802,1.255643368,-0.7752233148,0.4973306656
9.581029874,1.308905125,-0.8274197578,0.4973306656
9.583022947,1.363232017,-0.8828118443,0.4962654412
9.58501602,1.417558789,-0.9477910995,0.4930697381
9.587009093,1.469755292,-1.019161701,0.4941349626
9.589002166,1.521951675,-1.096923709,0.4920045137
9.590995239,1.575213313,-1.180011868,0.4920045137
9.592988312,1.628474951,-1.269491434,0.4920045137
9.594981385,1.680671453,-1.367492914,0.4888088107
9.596974458,1.727541685,-1.470820546,0.4888088107
9.598967531,1.771216154,-1.580539465,0.4866783321
9.600960604,1.812760353,-1.694519401,0.4845478833
9.602953677,1.842586875,-1.813825488,0.4824174047
9.604946749,1.869217634,-1.932066441,0.4792217016
9.606939822,1.887326598,-2.050307274,0.4760259986
9.608932895,1.893718004,-2.16428709,0.4728302956
9.610925968,1.89265275,-2.272940874,0.4706998467
9.612919041,1.884130955,-2.373072863,0.4675041437
9.614912062,1.873478532,-2.464682817,0.4653736651
9.616905083,1.864956737,-2.543510199,0.4621779919
9.618898104,1.861760974,-2.613815546,0.4547213614
9.620891124,1.869217634,-2.676664352,0.4440690279
9.622884145,1.890522361,-2.726730347,0.4259600639
9.624877166,1.920348883,-2.768274307,0.4014596939
9.626870187,1.9586972,-2.801296473,0.368437469
9.628863208,2.003437042,-2.82047081,0.3236976862
9.630856229,2.050307274,-2.824731588,0.2683055699
9.632849249,2.090786219,-2.814079285,0.2043915838
9.63484227,2.133395433,-2.784252882,0.1319557428
9.636835291,2.170678616,-2.736317396,0.05312849581
9.638828312,2.203700781,-2.666012049,-0.0352858454
9.640821333,2.233527422,-2.57546711,-0.1237001866
9.642814354,2.26228857,-2.464682817,-0.2153102309
9.644807374,2.288919449,-2.337920189,-0.3037245572
9.646800395,2.32087636,-2.201570272,-0.3921388984
9.648793416,2.353898764,-2.062024832,-0.4773575366
9.650786437,2.387986183,-1.927805424,-0.5572500229
9.652779458,2.432725906,-1.805303693,-0.6328815818
9.654772479,2.475335121,-1.700910807,-0.7021217346
9.656765499,2.519009829,-1.619953156,-0.7649704814
9.65875852,2.557358265,-1.569887161,-0.8182321191
9.660751541,2.578662872,-1.553908706,-0.8640371561
9.662744562,2.577597618,-1.567756653,-0.8981245756
9.664737583,2.553097248,-1.617822647,-0.9204944968
9.666730604,2.491313696,-1.698780417,-0.9279510975
9.668723624,2.386920929,-1.807434082,-0.9226249456
9.670716645,2.24524498,-1.939522982,-0.9077116847
9.672709666,2.065220594,-2.084394693,-0.8821461201
9.674702687,1.870282888,-2.240983963,-0.8459281921
9.676695708,1.677475691,-2.392246962,-0.8001231551
9.678688729,1.507038474,-2.523270607,-0.7468615174
9.680681749,1.37388432,-2.62446785,-0.6882736683
9.68267477,1.287600398,-2.683055639,-0.6328815818
9.684667791,1.249252081,-2.704360247,-0.5774894357
9.686660812,1.257773876,-2.683055639,-0.5295539498
9.688653833,1.306774616,-2.618076563,-0.4890751243
9.690646854,1.387732267,-2.523270607,-0.4507267177
9.692639874,1.49851656,-2.396507978,-0.4209001958
9.694632895,1.624214053,-2.247375488,-0.3963998258
9.696625916,1.762694359,-2.086525202,-0.376160413
9.698618937,1.897978902,-1.918218374,-0.3601819277
9.700611958,2.02474165,-1.756302953,-0.3463338912
9.702604979,2.134460688,-1.600778937,-0.333551079
9.704597999,2.219679356,-1.469755292,-0.3218335211
9.70659102,2.268680096,-1.362166762,-0.3122464418
9.708584041,2.288919449,-1.286535144,-0.3047898114
9.710577062,2.275071383,-1.237534523,-0.2941374779
9.712570083,2.231396914,-1.210903645,-0.2845503688
9.714563104,2.153634787,-1.198120832,-0.2707023323
