time,X,Y,Z
4.499465795,1.805228114,9.136872292,0.07302315533
4.501458763,1.800439715,9.14166069,0.1017535701
4.503451576,1.78128612,9.146449089,0.07781155407
4.505444336,1.786074519,9.132083893,0.0969651714
4.50743694,1.776497602,9.132083893,0.07302315533
4.509429545,1.766920805,9.146449089,0.07781155407
4.511422149,1.771709204,9.151237488,0.08259996027
4.513414753,1.771709204,9.151237488,0.0969651714
4.515407357,1.776497602,9.170391083,0.08738835901
4.517399961,1.786074519,9.170391083,0.0921767652
4.519392565,1.771709204,9.199121475,0.07781155407
4.52138517,1.771709204,9.213486671,0.1065419763
4.523377774,1.757344007,9.208698273,0.1065419763
4.52537043,1.733402014,9.213486671,0.1017535701
4.527363138,1.723825216,9.247005463,0.1256955862
4.529355899,1.690306425,9.28591156,0.1256955862
4.531348711,1.675941229,9.300276756,0.1496376097
4.533341576,1.651999116,9.309853554,0.178368032
4.535334493,1.608903527,9.309853554,0.1735796183
4.537327461,1.608903527,9.352949142,0.2023100406
4.539320482,1.580173135,9.376891136,0.211886853
4.541313503,1.52690208,9.40083313,0.2358288616
4.543306524,1.512536883,9.405621529,0.2501940727
4.545299545,1.464652896,9.43914032,0.2693476975
4.547292565,1.431134105,9.458293915,0.2885012925
4.549285586,1.392826796,9.501389503,0.3363853395
4.551278607,1.354519606,9.525331497,0.3411737382
4.553271628,1.316212416,9.525331497,0.3555389643
4.555264649,1.253963113,9.563638687,0.3651157618
4.557257513,1.220444322,9.563638687,0.3699041605
4.559250274,1.143829823,9.59236908,0.3651157618
4.561243034,1.11509943,9.573215485,0.3699041605
4.563235638,1.057638645,9.597157478,0.345962137
4.565228243,1.024119735,9.616311073,0.3699041605
4.567220847,0.9953893423,9.601945877,0.3699041605
4.569213451,0.9618705511,9.597157478,0.3555389643
4.571206055,0.9187749028,9.597157478,0.3411737382
4.573198659,0.8900445104,9.59236908,0.345962137
4.575191263,0.8421604633,9.563638687,0.3411737382
4.57718392,0.799064815,9.568427086,0.3411737382
4.579176628,0.7846996188,9.587580681,0.345962137
4.581169388,0.751180768,9.563638687,0.3411737382
4.583162201,0.732027173,9.55406189,0.3411737382
4.585155065,0.7368155718,9.549273491,0.312443316
4.587147982,0.732027173,9.520543098,0.3172317147
4.589140951,0.7607575655,9.510966301,0.3028665185
4.591133972,0.7655459642,9.506177902,0.3028665185
4.593127045,0.7607575655,9.487024307,0.3028665185
4.59512017,0.799064815,9.496601105,0.312443316
4.597113347,0.8038532138,9.482235909,0.3172317147
4.599106524,0.8134300113,9.47744751,0.326808542
4.601099701,0.8277952671,9.482235909,0.3315969408
4.603092878,0.8325836658,9.47744751,0.3555389643
4.605085951,0.8277952671,9.496601105,0.3842693865
4.607078711,0.8230068088,9.487024307,0.412999779
4.609071472,0.8277952671,9.510966301,0.4177882075
4.611064232,0.8421604633,9.530119896,0.427365005
4.613056993,0.8421604633,9.539696693,0.4465186298
4.615049753,0.8421604633,9.549273491,0.4656722248
4.617042513,0.866102457,9.558850288,0.460883826
4.619035274,0.8948329091,9.573215485,0.4800374508
4.621028034,0.9235633016,9.601945877,0.4800374508
4.623020795,0.9618705511,9.587580681,0.4800374508
4.625013555,0.9762357473,9.611522675,0.4704606235
4.627006368,1.009754539,9.63067627,0.4704606235
4.628999232,1.00496614,9.635464668,0.475249052
4.630992149,1.048061848,9.640253067,0.4656722248
4.632985118,1.057638645,9.645041466,0.460883826
4.634978138,1.105522633,9.683348656,0.475249052
4.636971211,1.134253025,9.692925453,0.4800374508
