"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.703070100E-1,-2.454056740E-1,1.773504853E0,8.802282333E0
1.723070100E-1,-2.023100406E-1,1.759139657E0,8.749609947E0
1.743070100E-1,-2.992752194E-2,1.682525277E0,8.687360764E0
1.763070100E-1,2.142810524E-1,1.610699177E0,8.562862396E0
1.783070100E-1,7.703344226E-1,1.394622445E0,8.467094421E0
1.803070100E-1,9.522937536E-1,1.361103654E0,8.116942406E0
1.823070100E-1,1.110311031E0,1.351526856E0,7.982867241E0
1.843070100E-1,1.249174714E0,1.313219666E0,7.920617580E0
1.863070100E-1,1.354519606E0,1.313219666E0,7.872733593E0
1.883070100E-1,1.440710902E0,1.313219666E0,7.877521992E0
1.903070100E-1,1.531690478E0,1.351526856E0,7.906252384E0
1.923070100E-1,1.565807939E0,1.380257249E0,7.954136372E0
1.943070100E-1,1.531690478E0,1.428739905E0,8.112154007E0
1.963070100E-1,1.507748485E0,1.481412292E0,8.260594368E0
1.983070100E-1,1.474229693E0,1.534084797E0,8.419210434E0
2.003070100E-1,1.435922503E0,1.572391987E0,8.601169586E0
2.023070100E-1,1.421557307E0,1.629852772E0,8.763975143E0
2.043070100E-1,1.388038397E0,1.677736878E0,8.888473511E0
2.063070100E-1,1.368884802E0,1.696890473E0,8.998606682E0
2.083070100E-1,1.431134105E0,1.706467271E0,8.792705536E0
2.103070100E-1,1.872265697E0,1.634641171E0,7.987655640E0
2.123070100E-1,2.504334927E0,1.519719481E0,6.722918510E0
2.143070100E-1,2.102109194E0,1.476623893E0,7.149086475E0
2.163070100E-1,1.953668594E0,1.467047095E0,7.393893242E0
2.183070100E-1,1.805228114E0,1.486200690E0,7.518392086E0
2.203070100E-1,1.671152830E0,1.524507880E0,7.614160061E0
2.223070100E-1,1.526902080E0,1.524507880E0,7.724293232E0
2.243070100E-1,1.407191992E0,1.538873196E0,7.848791599E0
2.263070100E-1,1.220444322E0,1.543661594E0,7.987655640E0
2.283070100E-1,1.129464626E0,1.433528304E0,8.049904823E0
2.303070100E-1,1.028908134E0,1.370680451E0,8.102577209E0
2.323070100E-1,7.751228213E-1,1.490989089E0,8.380903244E0
2.343070100E-1,5.883750916E-1,1.620275974E0,8.639476776E0
2.363070100E-1,4.495113790E-1,1.696890473E0,8.859743118E0
2.383070100E-1,4.351461530E-1,1.701678872E0,8.993818283E0
2.403070100E-1,4.638765752E-1,1.658583283E0,8.888473511E0
2.423070100E-1,3.100491166E-1,1.735197663E0,9.123106003E0
2.443070100E-1,1.999158412E-1,1.821388960E0,9.305065155E0
2.463070100E-1,8.020575345E-2,1.874061346E0,9.424775124E0
2.483070100E-1,-1.556231081E-2,1.898003340E0,9.559449196E0
2.503070100E-1,-1.400607973E-1,1.907580256E0,9.660005569E0
2.523070100E-1,-2.454056740E-1,1.912368655E0,9.755773544E0
2.543070100E-1,-3.842693865E-1,1.917157054E0,9.865906715E0
2.563070100E-1,-5.039794445E-1,1.955464244E0,9.952097893E0
2.583070100E-1,-6.236895323E-1,1.955464244E0,1.002392387E1
2.603070100E-1,-7.439981699E-1,1.993771434E0,1.008617306E1
2.623070100E-1,-8.732850552E-1,1.988983035E0,1.012926865E1
2.643070100E-1,-1.012148738E0,2.008136749E0,1.018672943E1
2.663070100E-1,-1.131858826E0,2.008136749E0,1.022024822E1
2.683070100E-1,-1.232415318E0,2.041655540E0,1.022024822E1
2.703070100E-1,-1.313818216E0,2.046443939E0,1.021545982E1
2.723070100E-1,-1.390432596E0,2.056020737E0,1.022982502E1
2.743070100E-1,-1.423951507E0,2.065597534E0,1.021545982E1
2.763070100E-1,-1.457470298E0,2.056020737E0,1.019151783E1
2.783070100E-1,-1.490989089E0,2.056020737E0,1.011011505E1
2.803070100E-1,-1.476623893E0,2.065597534E0,9.999981880E0
2.823070100E-1,-1.452681899E0,2.060809135E0,9.870695114E0
2.843070100E-1,-1.055244446E0,2.194884300E0,9.525930405E0
2.863070100E-1,-7.679402232E-1,2.305017710E0,9.209297180E0
2.883070100E-1,-7.296329737E-1,2.309806108E0,8.989029884E0
2.903070100E-1,-6.961141229E-1,2.271498919E0,8.850166321E0
2.923070100E-1,-6.859387755E-1,2.194884300E0,8.730456352E0
2.943070100E-1,-7.009025216E-1,2.147000313E0,8.644265175E0
2.963070100E-1,-7.152677774E-1,2.070385933E0,8.572439194E0
2.983070100E-1,-7.152677774E-1,1.993771434E0,8.514978409E0
3.003070100E-1,-7.104793787E-1,1.917157054E0,8.476671219E0
3.023070100E-1,-6.907271743E-1,1.864484549E0,8.447940826E0
3.043070100E-1,-6.619967818E-1,1.797446966E0,8.462306023E0
3.063070100E-1,-6.189011335E-1,1.744774461E0,8.447940826E0
3.083070100E-1,-5.805938840E-1,1.692102075E0,8.491036415E0
3.103070100E-1,-5.039794445E-1,1.682525277E0,8.510190010E0
3.123070100E-1,-4.273650050E-1,1.644217968E0,8.572439194E0
3.143070100E-1,-3.651157618E-1,1.649006367E0,8.629899979E0
3.163070100E-1,-2.789244950E-1,1.625064373E0,8.696937561E0
3.183070100E-1,-1.927332431E-1,1.620275974E0,8.749609947E0
3.203070100E-1,-1.209071875E-1,1.601122379E0,8.840589523E0
3.223070100E-1,-4.908113554E-2,1.615487576E0,8.950722694E0
3.243070100E-1,3.232172132E-2,1.601122379E0,9.080010414E0
3.263070100E-1,1.041477770E-1,1.601122379E0,9.223662376E0
3.283070100E-1,1.711854190E-1,1.586757183E0,9.391256332E0
3.303070100E-1,2.094926536E-1,1.567603588E0,9.554660797E0
3.323070100E-1,2.430114746E-1,1.562815189E0,9.698312759E0
3.343070100E-1,2.717418969E-1,1.524507880E0,9.818022728E0
3.363070100E-1,3.052607179E-1,1.519719481E0,9.928155899E0
3.383070100E-1,2.813186944E-1,1.495777488E0,9.985616684E0
3.403469060E-1,2.525882721E-1,1.495777488E0,1.003828907E1
3.423469060E-1,2.430114746E-1,1.471835494E0,1.007180786E1
3.443846140E-1,2.238578647E-1,1.476623893E0,1.008138466E1
3.463846140E-1,1.903390288E-1,1.467047095E0,1.009096146E1
3.484202910E-1,1.520318091E-1,1.471835494E0,1.006223106E1
3.504202910E-1,1.137245819E-1,1.490989089E0,1.005265427E1
3.524539890E-1,6.584054977E-2,1.500565886E0,1.002871227E1
3.544539890E-1,3.711012751E-2,1.524507880E0,9.985616684E0
3.564857600E-1,2.274491638E-2,1.543661594E0,9.913790703E0
3.584857600E-1,-2.513911761E-2,1.562815189E0,9.837176323E0
3.605157080E-1,-5.865794048E-2,1.601122379E0,9.760561943E0
3.625157080E-1,-6.344634295E-2,1.620275974E0,9.655217171E0
3.645438850E-1,-7.302315533E-2,1.644217968E0,9.554660797E0
3.665438850E-1,-8.259996027E-2,1.672948480E0,9.448717117E0
3.685703950E-1,-9.696517140E-2,1.682525277E0,9.352949142E0
3.705703950E-1,-1.113303825E-1,1.692102075E0,9.276334763E0
3.725952910E-1,-1.161187813E-1,1.716044068E0,9.180566788E0
3.745952910E-1,-1.256955862E-1,1.720832467E0,9.137471199E0
3.766186240E-1,-1.448491961E-1,1.730409265E0,9.084798813E0
3.786186240E-1,-1.400607973E-1,1.735197663E0,9.051279068E0
3.806404470E-1,-1.304839998E-1,1.744774461E0,9.017760277E0
3.826404470E-1,-1.304839998E-1,1.778293371E0,9.036913872E0
3.846608640E-1,-1.161187813E-1,1.778293371E0,9.041702271E0
3.866997700E-1,-6.823474914E-2,1.754351258E0,9.046490669E0
3.886997700E-1,-1.077390742E-2,1.739986062E0,9.089587212E0
3.907169580E-1,1.316810958E-2,1.716044068E0,9.137471199E0
3.927497180E-1,7.541735470E-2,1.663371682E0,9.190143585E0
3.947497180E-1,1.520318091E-1,1.634641171E0,9.290699959E0
3.967640930E-1,2.286462635E-1,1.581968784E0,9.400833130E0
3.987913850E-1,3.244143426E-1,1.553238392E0,9.545084000E0
4.008297180E-1,4.010287821E-1,1.510142684E0,9.698312759E0
4.028297180E-1,4.638765752E-1,1.514931083E0,9.880271912E0
4.048397700E-1,5.165489912E-1,1.510142684E0,1.005265427E1
4.068587810E-1,5.309142470E-1,1.524507880E0,1.022982502E1
4.088853430E-1,5.357026458E-1,1.558026791E0,1.041178417E1
4.109178430E-1,5.692214370E-1,1.562815189E0,1.055543709E1
4.129544580E-1,5.787982345E-1,1.562815189E0,1.062786102E1
4.149932600E-1,5.835866928E-1,1.572391987E0,1.071884060E1
4.170323220E-1,5.883750916E-1,1.553238392E0,1.079066753E1
4.190328430E-1,6.362590790E-1,1.443105102E0,1.084812832E1
4.210259160E-1,7.128735781E-1,1.313219666E0,1.089601231E1
4.230189370E-1,8.086416125E-1,1.140837073E0,1.090080070E1
4.250119580E-1,1.000177741E0,1.025915384E0,1.084333992E1
4.270049790E-1,1.215655923E0,9.157821536E-1,1.077151299E1
4.289979990E-1,1.297058821E0,8.248024583E-1,1.077630138E1
4.309910200E-1,1.225232720E0,8.056488633E-1,1.086728191E1
4.329840410E-1,1.019331336E0,8.295909166E-1,1.109712505E1
4.349770620E-1,7.224503756E-1,9.349357486E-1,1.143710136E1
4.369700830E-1,4.926069975E-1,1.069011092E0,1.184950256E1
4.389631040E-1,4.297592044E-1,1.308431268E0,1.231397820E1
4.409561240E-1,6.410474777E-1,1.687313676E0,1.280718327E1
4.429491450E-1,7.320271730E-1,1.931522250E0,1.317170048E1
4.449421660E-1,6.218938828E-1,1.988983035E0,1.330577564E1
4.469351870E-1,6.697779298E-1,2.012925148E0,1.317170048E1
4.489282080E-1,5.644330382E-1,1.955464244E0,1.300889492E1
4.509212290E-1,4.297592044E-1,1.835754156E0,1.289397335E1
4.529142490E-1,2.861070931E-1,1.692102075E0,1.276887608E1
4.549072700E-1,1.663970202E-1,1.543661594E0,1.263480091E1
4.569002910E-1,3.711012751E-2,1.394622445E0,1.251509094E1
4.588933120E-1,-3.950432688E-2,1.274912357E0,1.237143898E1
4.608863330E-1,-6.344634295E-2,1.174355984E0,1.222778702E1
4.628793540E-1,-2.513911761E-2,1.131260276E0,1.207455730E1
4.648723740E-1,3.711012751E-2,1.092953086E0,1.194048214E1
4.668653950E-1,1.376665980E-1,1.097741485E0,1.179204178E1
4.688584160E-1,2.765302956E-1,1.136048675E0,1.165736771E1
4.708514370E-1,4.106055796E-1,1.159990668E0,1.155202293E1
4.728444580E-1,5.644330382E-1,1.183932781E0,1.147062016E1
4.748374790E-1,6.937199235E-1,1.217451572E0,1.141794777E1
4.768304990E-1,7.703344226E-1,1.231816769E0,1.136527538E1
4.788235200E-1,8.277952671E-1,1.284489155E0,1.131260300E1
4.808165410E-1,8.469488621E-1,1.294066072E0,1.129344940E1
4.828095620E-1,8.421604633E-1,1.318008065E0,1.125993061E1
4.848025830E-1,8.277952671E-1,1.327584863E0,1.123120022E1
4.867956040E-1,7.799112201E-1,1.341950059E0,1.125035381E1
4.887886240E-1,7.463923693E-1,1.365892053E0,1.123120022E1
4.907816450E-1,6.985083222E-1,1.380257249E0,1.121204662E1
4.927746660E-1,6.410474777E-1,1.394622445E0,1.120725822E1
4.947676870E-1,5.979518890E-1,1.399410844E0,1.116416264E1
4.967607080E-1,5.644330382E-1,1.399410844E0,1.109712505E1
4.987537290E-1,5.069721937E-1,1.414374709E0,1.104445267E1
5.007467490E-1,5.069721937E-1,1.414374709E0,1.097262669E1
5.027397700E-1,5.213374496E-1,1.428739905E0,1.083376312E1
5.047327910E-1,5.452794433E-1,1.423951507E0,1.066616821E1
5.067258120E-1,5.692214370E-1,1.428739905E0,1.047403431E1
5.087188330E-1,6.075286865E-1,1.414374709E0,1.023940182E1
5.107118540E-1,6.362590790E-1,1.419163108E0,9.976039886E0
5.127048740E-1,6.554127336E-1,1.423951507E0,9.746196747E0
5.146978950E-1,6.841431260E-1,1.443105102E0,9.482235909E0
5.166909160E-1,7.032967210E-1,1.471835494E0,9.314641953E0
5.186839370E-1,7.320271730E-1,1.495777488E0,9.190143585E0
5.206769580E-1,7.320271730E-1,1.534084797E0,9.103952408E0
5.226699790E-1,7.176619768E-1,1.577180386E0,9.070432663E0
5.246629990E-1,7.032967210E-1,1.620275974E0,9.051279068E0
5.266560200E-1,6.266822815E-1,1.658583283E0,9.032125473E0
5.286490410E-1,3.591302549E-3,1.830965757E0,8.351573944E0
5.306420620E-1,-8.732850552E-1,1.998559833E0,7.149086475E0
5.326350830E-1,-1.970427990E0,2.170942307E0,6.138733387E0
5.346281040E-1,-2.923320293E0,2.348113298E0,5.740696907E0
5.366211240E-1,-3.402759075E0,2.463035107E0,5.467758179E0
5.386141450E-1,-3.019686937E0,2.535459518E0,5.491700172E0
5.406071660E-1,-2.229001760E0,2.554613113E0,5.515642166E0
5.426001870E-1,-1.385644197E0,2.554613113E0,5.913079739E0
5.445932080E-1,-6.859387755E-1,2.520495892E0,6.976703644E0
5.465862290E-1,-3.890577853E-1,2.443881273E0,6.833051682E0
5.485792490E-1,-2.885012925E-1,2.319382906E0,6.118980885E0
5.505722700E-1,-2.693476975E-1,2.214038134E0,5.582679749E0
5.525652910E-1,-3.172317147E-1,2.123058319E0,5.261856556E0
5.545583120E-1,-2.501940727E-1,2.079962730E0,5.084685802E0
5.565513330E-1,-4.908113554E-2,2.070385933E0,4.964377403E0
5.585443540E-1,1.520318091E-1,2.065597534E0,4.950012207E0
5.605373740E-1,4.782418013E-1,2.070385933E0,5.084685802E0
5.625303950E-1,1.048061848E0,2.056020737E0,5.415085793E0
5.645234160E-1,1.690306425E0,2.008136749E0,5.889137745E0
5.665164370E-1,2.470816135E0,1.936310649E0,6.540958881E0
5.685094580E-1,3.275866508E0,1.869272947E0,7.235277653E0
5.705024790E-1,3.841496706E0,1.807023764E0,7.973290443E0
5.724954990E-1,3.841496706E0,1.802235365E0,8.615534782E0
5.744885200E-1,3.510498285E0,1.811812162E0,9.094375610E0
5.764815410E-1,2.921524525E0,1.864484549E0,9.463082314E0
5.784745620E-1,2.279279947E0,1.960252643E0,9.693524361E0
5.804675830E-1,1.671152830E0,2.070385933E0,9.827599525E0
5.824606040E-1,1.143829823E0,2.199672699E0,9.865906715E0
5.844536240E-1,8.517372608E-1,2.237980127E0,9.856329918E0
5.864466450E-1,1.215655923E0,1.945887446E0,9.300276756E0
5.884396660E-1,9.139865041E-1,2.271498919E0,9.530718803E0
5.904326870E-1,8.613140583E-1,2.535459518E0,9.376891136E0
5.924257080E-1,6.410474777E-1,2.880224705E0,9.760561943E0
5.944187290E-1,5.357026458E-1,3.014299870E0,1.006701946E1
5.964117490E-1,4.734533727E-1,2.971204281E0,1.040699577E1
5.984047700E-1,3.579331636E-1,2.880224705E0,1.061289787E1
6.003977910E-1,2.477998734E-1,2.784456491E0,1.089601231E1
6.023908120E-1,2.274491638E-2,2.688688517E0,1.098220348E1
6.043838330E-1,-1.352723986E-1,2.597708941E0,1.103008747E1
6.063768540E-1,-2.645592988E-1,2.510919094E0,1.102529907E1
6.083698740E-1,-3.603273630E-1,2.439092875E0,1.094868469E1
6.103628950E-1,-4.273650050E-1,2.338536501E0,1.079066753E1
6.123559160E-1,-4.513070285E-1,2.233191729E0,1.054107189E1
6.143489370E-1,-3.890577853E-1,2.175730705E0,1.022024822E1
6.163419580E-1,-1.687912196E-1,2.151788712E0,9.818022728E0
6.183349790E-1,2.190694511E-1,2.218826532E0,9.257181168E0
6.203279990E-1,6.506243348E-1,2.271498919E0,8.735244751E0
6.223210200E-1,1.052850246E0,2.276287317E0,8.179191589E0
6.243140410E-1,1.531690478E0,2.376843691E0,7.561487675E0
6.263070620E-1,1.881842494E0,2.194884300E0,7.542334080E0
6.283000830E-1,2.063801765E0,2.046443939E0,7.465719223E0
6.302931040E-1,2.250549555E0,1.965041041E0,7.254431248E0
6.322861240E-1,2.284068346E0,1.888426542E0,7.101202011E0
6.342791450E-1,2.331952572E0,1.883638144E0,6.890512466E0
6.362721660E-1,2.533065319E0,1.917157054E0,6.828263283E0
6.382651870E-1,3.496133089E0,2.319382906E0,6.732495308E0
6.402582080E-1,3.606266260E0,2.367266893E0,6.540958881E0
6.422512290E-1,3.385999680E0,2.266710520E0,6.483498096E0
6.442442490E-1,3.141791105E0,2.166153908E0,6.526593685E0
6.462372700E-1,2.978985548E0,2.127846718E0,6.555324078E0
6.482302910E-1,2.926312923E0,2.051232338E0,6.588842869E0
6.502233120E-1,2.782660961E0,2.017713547E0,6.694188118E0
6.522163330E-1,2.585737944E0,2.017713547E0,6.828263283E0
6.542093540E-1,2.499546528E0,2.075174332E0,6.962338448E0
6.562023740E-1,2.408566952E0,2.190095901E0,7.091625214E0
6.581953950E-1,2.355894566E0,2.453458309E0,7.235277653E0
6.601884160E-1,2.451662540E0,2.861071110E0,7.456142426E0
6.621814370E-1,2.801814556E0,3.939060450E0,7.958924770E0
6.641744580E-1,2.725200176E0,4.446630955E0,8.160037994E0
6.661674790E-1,2.609679937E0,4.532822132E0,7.954136372E0
6.681604990E-1,2.691681147E0,4.657320976E0,7.662044048E0
6.701535200E-1,2.744353771E0,4.714781761E0,7.355586052E0
6.721465410E-1,2.806602955E0,4.700416565E0,7.077260017E0
6.741396140E-1,2.998139143E0,4.566341400E0,6.780379295E0
6.761326870E-1,3.017292738E0,4.451419353E0,6.512228489E0
6.781257600E-1,3.127425909E0,4.235941410E0,6.607996464E0
6.801188330E-1,3.266289711E0,4.020462990E0,6.655880928E0
6.821119060E-1,3.362057686E0,3.804985046E0,6.354211330E0
6.841049790E-1,3.261501312E0,3.728370667E0,6.454767704E0
6.860980520E-1,3.141791105E0,3.612850428E0,6.387730122E0
6.880911240E-1,3.103483915E0,3.454833031E0,6.234501362E0
6.900841970E-1,3.074753523E0,3.282450438E0,6.118980885E0
6.920772700E-1,3.069965124E0,3.167528868E0,6.109404087E0
6.940703430E-1,3.050811529E0,3.057395458E0,6.205770969E0
