"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.603070100E-1,-3.295564651E-1,8.398030996E-1,-9.513862729E-1
2.623070100E-1,-3.029256463E-1,8.472597003E-1,-9.375382066E-1
2.643070100E-1,-2.784252763E-1,8.504554033E-1,-9.236901999E-1
2.663070100E-1,-2.517944574E-1,8.451292515E-1,-9.066464305E-1
2.683070100E-1,-2.304897904E-1,8.302159905E-1,-8.917331696E-1
2.703070100E-1,-2.059894353E-1,8.057156205E-1,-8.768199086E-1
2.723070100E-1,-1.857500076E-1,7.758890986E-1,-8.608414531E-1
2.743070100E-1,-1.623148769E-1,7.375407219E-1,-8.437976837E-1
2.763070100E-1,-1.420754492E-1,6.916025281E-1,-8.267539740E-1
2.783070100E-1,-1.239664927E-1,6.415365934E-1,-8.107754588E-1
2.803070100E-1,-1.111836955E-1,5.861444473E-1,-7.947970033E-1
2.823070100E-1,-9.733566642E-2,5.254262090E-1,-7.798837423E-1
2.843070100E-1,-8.668334037E-2,4.529903531E-1,-7.692313790E-1
2.863070100E-1,-8.987903595E-2,3.603150845E-1,-7.681661844E-1
2.883070100E-1,-9.413997084E-2,2.761616707E-1,-7.702966332E-1
2.903070100E-1,-9.840089828E-2,2.015953511E-1,-7.724270821E-1
2.923070100E-1,-1.058575287E-1,1.387466043E-1,-7.745575905E-1
2.943070100E-1,-1.122489274E-1,8.548495173E-2,-7.756227851E-1
2.963070100E-1,-1.197055578E-1,4.181039706E-2,-7.745575905E-1
2.983070100E-1,-1.303578913E-1,4.527240526E-3,-7.724270821E-1
3.003070100E-1,-1.388797611E-1,-2.316881903E-2,-7.681661844E-1
3.023070100E-1,-1.463363916E-1,-4.553871229E-2,-7.649704814E-1
3.043070100E-1,-1.537930220E-1,-5.725627393E-2,-7.596443295E-1
3.063070100E-1,-1.601844132E-1,-6.151720881E-2,-7.575138211E-1
3.083070100E-1,-1.623148769E-1,-6.045197323E-2,-7.511224151E-1
3.103070100E-1,-1.655105799E-1,-5.406057462E-2,-7.479267120E-1
3.123070100E-1,-1.623148769E-1,-4.021254554E-2,-7.468615174E-1
3.143070100E-1,-1.591191888E-1,-2.316881903E-2,-7.457962632E-1
3.163070100E-1,-1.537930220E-1,-2.929390874E-3,-7.479267120E-1
3.183070100E-1,-1.463363916E-1,1.944050193E-2,-7.489919662E-1
3.203070100E-1,-1.410102248E-1,4.181039706E-2,-7.553833723E-1
3.223070100E-1,-1.303578913E-1,6.631075591E-2,-7.649704814E-1
3.243070100E-1,-1.197055578E-1,8.548495173E-2,-7.745575905E-1
3.263070100E-1,-1.090532318E-1,1.014634445E-1,-7.852098942E-1
3.283070100E-1,-8.881380409E-2,1.131810099E-1,-8.011884093E-1
3.303070100E-1,-6.963960826E-2,1.163767055E-1,-8.182321191E-1
3.323070100E-1,-4.940018058E-2,1.142462417E-1,-8.374063373E-1
3.343070100E-1,-2.809552103E-2,1.035939083E-1,-8.597761989E-1
3.363070100E-1,-3.595161485E-3,8.548495173E-2,-8.810808659E-1
3.383070100E-1,2.103835158E-2,6.418029219E-2,-9.045159817E-1
3.403469060E-1,4.340824485E-2,3.115806542E-2,-9.268859029E-1
3.423469060E-1,6.790860742E-2,-2.929390874E-3,-9.513862729E-1
3.443846140E-1,8.601756394E-2,-4.447348043E-2,-9.726908803E-1
3.463846140E-1,1.062569916E-1,-9.666989744E-2,-9.961260557E-1
3.484202910E-1,1.254311949E-1,-1.488663107E-1,-1.017430663E0
3.504202910E-1,1.371487528E-1,-2.095845938E-1,-1.038735390E0
3.524539890E-1,1.509967744E-1,-2.734985650E-1,-1.060039997E0
3.544539890E-1,1.595186442E-1,-3.427387178E-1,-1.079214215E0
3.564857600E-1,1.680405140E-1,-4.130440950E-1,-1.097323179E0
3.584857600E-1,1.669752747E-1,-4.844147265E-1,-1.115432143E0
3.605157080E-1,1.648448110E-1,-5.600462556E-1,-1.133541107E0
3.625157080E-1,1.627143472E-1,-6.303516626E-1,-1.149519563E0
3.645438850E-1,1.573881805E-1,-6.995918155E-1,-1.164432883E0
3.665438850E-1,1.435401440E-1,-7.624405622E-1,-1.179346085E0
3.685703950E-1,1.339530498E-1,-8.210283518E-1,-1.194259405E0
3.705703950E-1,1.190397888E-1,-8.753552437E-1,-1.208107352E0
3.725952910E-1,1.009308323E-1,-9.254211783E-1,-1.218759775E0
3.745952910E-1,8.282186836E-2,-9.690957665E-1,-1.233672976E0
3.766186240E-1,6.151720881E-2,-1.008509398E0,-1.246455789E0
3.786186240E-1,3.914731368E-2,-1.044727325E0,-1.254977703E0
3.806404470E-1,1.677742042E-2,-1.073488593E0,-1.265630007E0
3.826404470E-1,-3.595161485E-3,-1.099054217E0,-1.275217056E0
3.846608640E-1,-3.022598661E-2,-1.119293571E0,-1.284804225E0
3.866997700E-1,-5.153064802E-2,-1.132076383E0,-1.292260766E0
3.886997700E-1,-7.283531129E-2,-1.141663551E0,-1.298652172E0
3.907169580E-1,-9.733566642E-2,-1.144859195E0,-1.307174087E0
3.927497180E-1,-1.165098622E-1,-1.145924449E0,-1.313565493E0
