"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.031835690E-1,1.867477298E0,6.727108002E0,4.633977413E0
2.051764860E-1,1.891419291E0,6.693589211E0,4.600458622E0
2.071694020E-1,1.891419291E0,6.631340027E0,4.605247021E0
2.091623190E-1,1.929726601E0,6.573879242E0,4.547786236E0
2.111552360E-1,1.963245392E0,6.549937248E0,4.533421040E0
2.131481520E-1,1.944091797E0,6.535572052E0,4.485537052E0
2.151410690E-1,1.972822189E0,6.535572052E0,4.428076267E0
2.171339860E-1,1.953668594E0,6.478111267E0,4.370615005E0
2.191269020E-1,1.953668594E0,6.425438881E0,4.298789024E0
2.211198190E-1,1.987187386E0,6.377554893E0,4.255693436E0
2.231127360E-1,2.015917778E0,6.348824501E0,4.183867455E0
2.251056520E-1,2.015917778E0,6.310517311E0,4.140771866E0
2.270985690E-1,1.991975784E0,6.248267651E0,4.107253075E0
2.290914860E-1,1.958456993E0,6.224325657E0,4.097676277E0
2.310844020E-1,1.920149803E0,6.166864872E0,4.064157486E0
2.330773190E-1,1.905784607E0,6.138134480E0,4.045003891E0
2.350702360E-1,1.857900500E0,6.138134480E0,4.049792290E0
2.370631520E-1,1.867477298E0,6.061520100E0,4.045003891E0
2.390560690E-1,1.886630893E0,6.047154903E0,4.112041473E0
2.410489860E-1,1.963245392E0,5.927444935E0,4.193444252E0
2.430419020E-1,2.015917778E0,5.855020046E0,4.279635429E0
2.450348190E-1,2.097320795E0,5.826289654E0,4.389768600E0
2.470277360E-1,2.178723574E0,5.831078053E0,4.499902248E0
2.490206520E-1,2.173935175E0,5.811924458E0,4.643554211E0
2.510135690E-1,2.202665567E0,5.821501255E0,4.763264179E0
2.530064860E-1,2.178723574E0,5.859808445E0,4.897339344E0
2.549994020E-1,2.111685991E0,5.835866451E0,5.032013416E0
2.569923190E-1,1.991975784E0,5.811924458E0,5.161300182E0
2.589852360E-1,1.886630893E0,5.802347660E0,5.223549366E0
2.609781520E-1,1.848323703E0,5.759252071E0,5.257068157E0
2.629710690E-1,1.790862918E0,5.740098476E0,5.309741020E0
2.649639860E-1,1.733402014E0,5.692214489E0,5.324106216E0
2.669569020E-1,1.704671621E0,5.644330502E0,5.276222229E0
2.689498190E-1,1.719036818E0,5.596446514E0,5.209184170E0
2.709427360E-1,1.699883223E0,5.586869717E0,5.099050999E0
2.729356520E-1,1.747767210E0,5.591658115E0,4.954800606E0
2.749285690E-1,1.766920805E0,5.534197330E0,4.777629375E0
2.769214860E-1,1.786074519E0,5.515043736E0,4.571728230E0
2.789144020E-1,1.810016513E0,5.495890141E0,4.380191803E0
2.809073190E-1,1.805228114E0,5.481524944E0,4.212597847E0
2.829002360E-1,1.814804912E0,5.471948147E0,4.045003891E0
2.848931520E-1,1.795651317E0,5.491101742E0,3.848080635E0
2.868860690E-1,1.786074519E0,5.500678539E0,3.690063477E0
2.888789860E-1,1.766920805E0,5.562927723E0,3.474585295E0
2.908719020E-1,1.762132406E0,5.596446514E0,3.326144695E0
2.928648190E-1,1.728613615E0,5.658695698E0,3.187281132E0
2.948577360E-1,1.671152830E0,5.682637691E0,3.110666513E0
2.968506520E-1,1.642422318E0,5.735310078E0,3.043628931E0
2.988435690E-1,1.656787634E0,5.744886875E0,3.024475336E0
3.008364860E-1,1.661576033E0,5.720944881E0,3.010110140E0
3.028294020E-1,1.666364431E0,5.730521679E0,2.981379747E0
3.048223190E-1,1.618480325E0,5.768828869E0,2.995744944E0
3.068152360E-1,1.666364431E0,5.754463673E0,2.995744944E0
3.088081520E-1,1.671152830E0,5.792770863E0,3.029263735E0
3.108010690E-1,1.661576033E0,5.783194065E0,2.952649355E0
3.127939860E-1,1.733402014E0,5.759252071E0,2.947860956E0
3.147869020E-1,1.781286120E0,5.740098476E0,2.962226152E0
3.167798190E-1,1.819593310E0,5.725733280E0,2.952649355E0
3.187727360E-1,1.814804912E0,5.778405666E0,2.971802950E0
3.207656520E-1,1.848323703E0,5.768828869E0,2.952649355E0
3.227585690E-1,1.838746905E0,5.787982464E0,2.952649355E0
3.247514860E-1,1.833958507E0,5.835866451E0,2.962226152E0
3.267444020E-1,1.877054095E0,5.811924458E0,2.995744944E0
3.287373190E-1,1.881842494E0,5.783194065E0,3.034052134E0
3.307302360E-1,1.891419291E0,5.802347660E0,3.038840532E0
3.327231520E-1,1.991975784E0,5.730521679E0,2.899976730E0
3.347160690E-1,2.173935175E0,5.615600109E0,2.880823135E0
3.367089860E-1,2.116474390E0,5.567716122E0,3.125031710E0
3.387019020E-1,2.135627985E0,5.538985729E0,3.163338900E0
3.406948190E-1,2.116474390E0,5.538985729E0,3.306991100E0
3.426877360E-1,2.068590164E0,5.548562527E0,3.421912670E0
3.446806520E-1,2.035071373E0,5.553350925E0,3.536834478E0
3.466735690E-1,2.025494576E0,5.586869717E0,3.670909643E0
3.486664860E-1,2.020706177E0,5.620388508E0,3.776254654E0
3.506594020E-1,2.039859772E0,5.653907299E0,3.862445831E0
3.526523190E-1,2.130839586E0,5.711368084E0,3.848080635E0
3.546452360E-1,2.231395960E0,5.725733280E0,3.862445831E0
3.566381520E-1,2.312798738E0,5.797559261E0,3.997119665E0
3.586311210E-1,2.293645144E0,5.859808445E0,3.997119665E0
3.606240900E-1,2.322375536E0,5.898714542E0,3.997119665E0
3.626170590E-1,2.418143749E0,5.946598530E0,4.006696701E0
3.646100270E-1,2.499546528E0,5.965752125E0,4.083311081E0
3.666029960E-1,2.542642117E0,5.980117321E0,4.088099480E0
3.685959650E-1,2.585737944E0,5.994482517E0,3.944447279E0
3.705889340E-1,2.652775526E0,5.984905720E0,3.867234230E0
3.725819020E-1,2.701258183E0,6.018424511E0,3.968389273E0
3.745748710E-1,2.729988575E0,6.075885296E0,3.828927040E0
3.765678400E-1,2.830544949E0,6.042366505E0,3.867234230E0
3.785608090E-1,2.897582531E0,6.023212910E0,3.742735863E0
3.805537770E-1,2.998139143E0,6.008847713E0,3.536834478E0
3.825467460E-1,3.069965124E0,6.032789707E0,3.455431700E0
3.845397150E-1,3.041234732E0,6.066308498E0,3.412335873E0
3.865326840E-1,3.156156301E0,6.061520100E0,3.048417330E0
3.885256520E-1,3.170521498E0,6.061520100E0,3.081936121E0
3.905186210E-1,3.146579504E0,6.066308498E0,2.856881142E0
3.925115900E-1,3.227982521E0,6.080673695E0,2.808997154E0
3.945045590E-1,3.146579504E0,6.090250492E0,2.842515945E0
3.964975270E-1,3.141791105E0,6.080673695E0,2.828150749E0
3.984904960E-1,3.089118719E0,6.071096897E0,2.755726099E0
4.004834650E-1,3.122637510E0,6.166864872E0,2.876034737E0
4.024764340E-1,3.084330320E0,6.200383663E0,2.957437754E0
4.044694020E-1,3.069965124E0,6.334459305E0,2.895188332E0
4.064623710E-1,2.974197149E0,6.401496887E0,2.986168146E0
4.084553400E-1,2.950255156E0,6.430227280E0,2.880823135E0
4.104483090E-1,3.026869535E0,6.497264862E0,2.775478363E0
4.124412770E-1,3.012504339E0,6.564302444E0,2.842515945E0
4.144342460E-1,3.165733099E0,6.655282021E0,2.832939148E0
4.164272150E-1,3.309385300E0,6.717531204E0,2.712630510E0
4.184201310E-1,3.342904091E0,6.851606846E0,2.564189911E0
4.204130480E-1,3.338115692E0,7.134721279E0,2.339135170E0
4.224059650E-1,3.515286684E0,7.225700855E0,2.573766708E0
4.243988810E-1,3.836708307E0,6.918644428E0,3.225588322E0
4.263917980E-1,4.109647274E0,6.837241650E0,3.148973703E0
4.283847150E-1,4.353855610E0,6.933009624E0,3.019686937E0
4.303776310E-1,4.823119164E0,6.679224014E0,3.484162092E0
4.323705480E-1,4.981735229E0,6.655282021E0,3.335721493E0
4.343634650E-1,5.245097160E0,6.674435616E0,3.397970676E0
4.363563810E-1,5.269039154E0,6.669647217E0,3.235165119E0
4.383492980E-1,5.245097160E0,6.746262074E0,3.383605480E0
4.403422150E-1,5.336077213E0,6.746262074E0,3.321356297E0
4.423351310E-1,5.407903194E0,6.813299656E0,3.512892485E0
4.443280480E-1,5.422268391E0,6.899490833E0,3.680486679E0
4.463209650E-1,5.369596004E0,6.990470409E0,3.670909643E0
4.483138810E-1,5.379172802E0,7.144298077E0,3.848080635E0
4.503067980E-1,5.316923618E0,7.259219646E0,3.930082083E0
4.522997150E-1,5.225943565E0,7.484274387E0,4.155137062E0
4.542926310E-1,5.149329185E0,7.714118004E0,4.432864666E0
4.562855480E-1,5.106233597E0,7.958326340E0,4.715380192E0
4.582784650E-1,4.929062843E0,8.289324760E0,5.266644955E0
4.602713810E-1,4.924274445E0,8.437765121E0,5.735908508E0
4.622642980E-1,4.799177170E0,8.806472778E0,6.253654957E0
4.642572150E-1,4.842272758E0,9.036315918E0,6.809109688E0
4.662501310E-1,4.808753967E0,9.300276756E0,7.264606476E0
4.682430480E-1,4.808753967E0,9.515754700E0,7.518392086E0
4.702359650E-1,4.732139587E0,9.736021042E0,7.863156796E0
4.722288810E-1,4.760869980E0,9.889249802E0,7.906252384E0
4.742217980E-1,4.794388771E0,1.012867069E1,8.054693222E0
4.762147150E-1,4.780023575E0,1.030584145E1,7.958924770E0
4.782076310E-1,4.789600372E0,1.058895588E1,7.839214802E0
4.802005480E-1,4.827907562E0,1.076133823E1,7.738658428E0
4.821934650E-1,4.875791550E0,1.093372059E1,7.671620846E0
4.841863810E-1,4.991312027E0,1.121623611E1,7.590218067E0
4.861792980E-1,5.158905983E0,1.134073448E1,7.355586052E0
4.881722150E-1,5.259462357E0,1.150832939E1,7.058106422E0
4.901651310E-1,5.197213173E0,1.178186703E1,7.015010834E0
4.921580480E-1,5.316923618E0,1.198776817E1,6.756437302E0
4.941509650E-1,5.340865612E0,1.219845772E1,6.560112476E0
4.961438810E-1,5.312135220E0,1.249055004E1,6.421248913E0
4.981367980E-1,5.139752388E0,1.278802967E1,6.047154903E0
5.001297150E-1,5.101445198E0,1.296998882E1,5.740696907E0
5.021226310E-1,5.020042419E0,1.319025612E1,5.510853767E0
5.041155480E-1,4.933851242E0,1.341531086E1,5.137358189E0
5.061084650E-1,4.765658379E0,1.360205841E1,4.763264179E0
5.081013810E-1,4.569334030E0,1.376546288E1,4.389768600E0
5.100942980E-1,4.373009205E0,1.391390324E1,4.068945885E0
5.120872150E-1,4.076128483E0,1.414853477E1,3.694851875E0
5.140801310E-1,4.061763287E0,1.427782154E1,3.378817081E0
5.160730480E-1,4.143166065E0,1.422514915E1,3.053205729E0
5.180659650E-1,4.119224072E0,1.424909115E1,2.952649355E0
5.200588810E-1,4.100070477E0,1.413895798E1,2.755726099E0
5.220517980E-1,4.095282078E0,1.400009441E1,2.664746523E0
5.240447150E-1,4.028244495E0,1.373134518E1,2.645592928E0
5.260376310E-1,4.248510838E0,1.317110252E1,2.621650934E0
5.280305480E-1,4.368220806E0,1.261026001E1,2.568978310E0
5.300234650E-1,4.444835663E0,1.212663174E1,2.559401512E0
5.320163810E-1,4.689043999E0,1.159990692E1,2.631227732E0
5.340092980E-1,4.938639641E0,1.106300735E1,2.760514498E0
5.360022150E-1,5.115810394E0,1.059374428E1,2.923918724E0
5.379951310E-1,5.221155167E0,1.019091988E1,3.053205729E0
5.399880480E-1,5.374384403E0,9.798270226E0,3.148973703E0
5.419809650E-1,5.441421986E0,9.463082314E0,3.225588322E0
5.439738810E-1,5.580285549E0,9.156025887E0,3.340509892E0
5.459667980E-1,5.685630322E0,8.849568367E0,3.441066504E0
5.479597150E-1,5.747879505E0,8.638877869E0,3.536834478E0
5.499526310E-1,5.786187172E0,8.476072311E0,3.632602453E0
5.519455480E-1,5.843647957E0,8.313266754E0,3.742735863E0
5.539384650E-1,5.757456303E0,8.212710381E0,3.867234230E0
5.559313810E-1,5.690418720E0,8.160037994E0,3.954024076E0
5.579242980E-1,5.532401562E0,8.106766701E0,4.011485100E0
5.599172150E-1,5.455787182E0,8.049305916E0,4.078522682E0
5.619101310E-1,5.321712017E0,8.058882713E0,4.150348663E0
5.639030480E-1,5.197213173E0,8.039729118E0,4.212597847E0
5.658959650E-1,5.115810394E0,8.006210327E0,4.270058632E0
5.678888810E-1,5.048772812E0,7.943961143E0,4.327519417E0
5.698817980E-1,4.885368347E0,7.958326340E0,4.341884613E0
5.718747150E-1,4.851849556E0,7.963114738E0,4.361038208E0
5.738676310E-1,4.957793236E0,7.910442352E0,4.356249809E0
5.758605480E-1,4.693832397E0,7.996633530E0,4.313154221E0
5.778534650E-1,4.665102005E0,8.082824707E0,4.284423828E0
5.798463810E-1,4.612429619E0,8.097189903E0,4.255693436E0
5.818392980E-1,4.191050053E0,8.337208748E0,4.174290657E0
5.838322150E-1,4.689043999E0,8.236652374E0,4.179079056E0
5.858251310E-1,4.717774391E0,8.236652374E0,4.116829872E0
5.878180480E-1,4.847061157E0,8.227075577E0,4.150348663E0
5.898109650E-1,4.727351189E0,8.260594368E0,4.140771866E0
5.918038810E-1,4.626794815E0,8.188768387E0,4.107253075E0
5.937967980E-1,4.924274445E0,8.251017570E0,4.078522682E0
5.957897150E-1,4.832695961E0,8.394669533E0,3.934870481E0
5.977826310E-1,4.712985992E0,8.509591103E0,3.795408249E0
5.997755480E-1,4.760869980E0,8.600570679E0,3.646967649E0
6.017684650E-1,5.106233597E0,8.600570679E0,3.613448858E0
6.037613810E-1,5.297770023E0,8.581417084E0,3.579930067E0
6.057542980E-1,5.278616428E0,8.595782280E0,3.579930067E0
6.077472150E-1,5.508459568E0,8.538321495E0,3.666121244E0
6.097401310E-1,5.403114796E0,8.605359077E0,3.618237257E0
6.117330480E-1,5.288193226E0,8.653243065E0,3.589506865E0
6.137259650E-1,5.379172802E0,8.667608261E0,3.488950491E0
6.157188810E-1,5.326500416E0,8.629301071E0,3.421912670E0
6.177117980E-1,5.321712017E0,8.691550255E0,3.316567898E0
6.197047150E-1,5.527613163E0,8.634089470E0,3.378817081E0
6.216976310E-1,5.925050735E0,8.404246330E0,3.306991100E0
6.236905480E-1,5.747879505E0,8.399457932E0,3.278260708E0
6.256834650E-1,5.690418720E0,8.456918716E0,3.321356297E0
6.276763810E-1,5.776610374E0,8.394669533E0,3.306991100E0
6.296692980E-1,5.704783916E0,8.361150742E0,3.268683910E0
6.316622150E-1,5.781398773E0,8.294113159E0,3.278260708E0
6.336551310E-1,5.738302708E0,8.193556786E0,3.378817081E0
6.356480480E-1,6.117185116E0,7.790732384E0,3.407547474E0
6.376409650E-1,6.189011574E0,7.766790390E0,3.259107113E0
6.396338810E-1,6.112396717E0,7.829039574E0,3.129820108E0
6.416267980E-1,6.145915985E0,7.800309181E0,3.053205729E0
6.436197150E-1,6.155492783E0,7.785943985E0,2.967014551E0
6.456126310E-1,6.145915985E0,7.800309181E0,2.659958124E0
6.476055480E-1,6.126761913E0,7.728483200E0,2.454056740E0
6.496037110E-1,5.996876717E0,7.752425194E0,2.367865562E0
6.515966270E-1,5.920262337E0,7.776367188E0,2.205059767E0
6.535895440E-1,5.929839134E0,7.809885979E0,1.860294700E0
6.555824610E-1,5.757456303E0,7.848193169E0,1.548449993E0
6.575753770E-1,5.762245178E0,7.805097580E0,1.390432596E0
6.595682940E-1,5.652111530E0,7.838616371E0,1.500565886E0
6.615612110E-1,5.695207119E0,7.829039574E0,1.155800819E0
6.635541270E-1,5.762245178E0,7.800309181E0,9.307458997E-1
6.655470440E-1,5.752667904E0,7.795520782E0,6.913257241E-1
6.675399610E-1,5.738302708E0,7.814674377E0,4.896142483E-1
6.695328770E-1,5.618592739E0,7.881711960E0,4.225766063E-1
6.715257940E-1,5.202001572E0,8.106766701E0,8.014590144E-1
6.735187110E-1,5.115810394E0,8.236652374E0,4.944026470E-1
6.755116270E-1,5.245097160E0,8.135497093E0,3.471592441E-2
6.775045440E-1,5.302558422E0,8.020575523E0,-3.292027414E-1
6.794974610E-1,5.292981625E0,8.001421928E0,-5.734112859E-1
6.814903770E-1,5.106233597E0,8.140884399E0,-7.846996188E-1
6.834832940E-1,4.645948410E0,8.490437508E0,-6.793547273E-1
6.854762110E-1,3.611054659E0,9.343372345E0,7.302315533E-2
6.874691800E-1,3.328538895E0,9.640253067E0,-3.818751574E-1
6.894621480E-1,3.462614298E0,9.740809441E0,-4.728548229E-1
6.914551170E-1,3.333327293E0,9.961075783E0,-6.171054840E-1
6.934480860E-1,3.084330320E0,1.023880386E1,-8.661024570E-1
6.954410550E-1,2.720411777E0,1.059853268E1,-1.139041424E0
6.974340230E-1,2.384624958E0,1.096723938E1,-1.297058821E0
6.994269920E-1,2.039859772E0,1.132158089E1,-1.459864497E0
7.014199610E-1,1.690306425E0,1.164300251E1,-1.689707875E0
7.034129300E-1,1.201290727E0,1.198297977E1,-1.857900500E0
7.054058980E-1,7.942764163E-1,1.235647488E1,-2.001552582E0
7.073988670E-1,3.483563364E-1,1.267310810E1,-2.169146776E0
7.093918360E-1,-7.781155407E-2,1.308012199E1,-2.245761156E0
7.113848050E-1,-5.997475386E-1,1.343925285E1,-2.212242365E0
7.133777730E-1,-8.780734539E-1,1.369303799E1,-2.365471363E0
7.153707420E-1,-1.433528304E0,1.408149719E1,-2.375048161E0
7.173637110E-1,-1.807023764E0,1.437837791E1,-2.279279947E0
7.193566800E-1,-2.310404539E0,1.463695240E1,-2.030282974E0
7.213496480E-1,-2.875436306E0,1.503020000E1,-1.723226666E0
7.233426170E-1,-3.383605480E0,1.536538792E1,-1.569997787E0
7.253355860E-1,-3.905541420E0,1.571494102E1,-1.373673201E0
7.273285550E-1,-4.317942619E0,1.604115105E1,-1.091157436E0
7.293215230E-1,-4.638765812E0,1.626141739E1,-8.469488621E-1
7.313144920E-1,-4.863820553E0,1.647689629E1,-5.446808934E-1
7.333074610E-1,-4.988319397E0,1.661097145E1,-2.430114746E-1
7.353004300E-1,-4.902127743E0,1.665406609E1,1.017535701E-1
7.372933980E-1,-4.595670223E0,1.651041412E1,5.620388389E-1
7.392863670E-1,-4.078522682E0,1.625184059E1,1.093551636E0
7.412793360E-1,-3.359663486E0,1.581549835E1,1.629852772E0
7.432723050E-1,-2.482787132E0,1.530792713E1,2.080561161E0
7.452652730E-1,-1.586757183E0,1.477581596E1,2.410961151E0
7.472581900E-1,-6.572083831E-1,1.421078396E1,2.664746523E0
7.492511070E-1,2.286462635E-1,1.361642361E1,2.904765129E0
7.512440230E-1,1.014542937E0,1.305618000E1,3.014898539E0
7.532369400E-1,1.709460020E0,1.252406883E1,3.096301317E0
7.552298570E-1,2.317587137E0,1.204522896E1,3.139396906E0
7.572227730E-1,2.859275341E0,1.157596493E1,3.139396906E0
7.592156900E-1,3.352480888E0,1.113483334E1,3.062782526E0
7.612086070E-1,3.769072056E0,1.076612663E1,2.986168146E0
7.632015230E-1,4.186261654E0,1.046445751E1,2.842515945E0
7.651944400E-1,4.559757233E0,1.017655468E1,2.616862535E0
7.671873570E-1,4.808753967E0,9.946710587E0,2.473210335E0
7.691802730E-1,4.914099216E0,9.736021042E0,2.358288765E0
7.711731900E-1,5.039196014E0,9.534908295E0,2.272097349E0
7.731661070E-1,5.029619217E0,9.376891136E0,2.157175779E0
7.751590230E-1,5.029619217E0,9.266757965E0,2.152387381E0
7.771519400E-1,5.058349609E0,9.160814285E0,2.066195965E0
7.791448570E-1,5.101445198E0,9.112930298E0,1.980004787E0
7.811377730E-1,5.134963989E0,9.103353500E0,1.889025092E0
7.831306900E-1,5.115810394E0,9.108141899E0,1.826775908E0
7.851236070E-1,5.087080002E0,9.165602684E0,1.735796213E0
7.871165230E-1,5.010465622E0,9.247005463E0,1.634641171E0
7.891094400E-1,4.909310818E0,9.305065155E0,1.577180386E0
7.911023570E-1,4.832695961E0,9.391256332E0,1.519719481E0
7.930952730E-1,4.722562790E0,9.458293915E0,1.438316703E0
7.950881900E-1,4.598064423E0,9.534908295E0,1.342548609E0
7.970811070E-1,4.487931252E0,9.621099472E0,1.289876223E0
7.990740230E-1,4.425682068E0,9.673771858E0,1.237203717E0
8.010669400E-1,4.305971622E0,9.721655846E0,1.127070427E0
8.030598570E-1,4.191050053E0,9.779116631E0,1.098340034E0
8.050527730E-1,4.095282078E0,9.788693428E0,1.060032845E0
8.070456900E-1,4.013879299E0,9.803058624E0,1.016937137E0
8.090386070E-1,3.980360270E0,9.817423820E0,9.929951429E-1
8.110315230E-1,3.903745890E0,9.779116631E0,1.012148738E0
8.130244400E-1,3.894169092E0,9.759963036E0,1.074398041E0
8.150173570E-1,3.884592295E0,9.707290649E0,1.088763237E0
8.170102730E-1,3.922899485E0,9.649829865E0,1.136647224E0
8.190031900E-1,3.951629877E0,9.558850288E0,1.170166135E0
8.209961070E-1,3.956418276E0,9.458293915E0,1.222838521E0
8.229890230E-1,3.994725466E0,9.367314339E0,1.256357312E0
8.249819400E-1,4.042609692E0,9.261370659E0,1.280299306E0
8.269748570E-1,4.071340084E0,9.146449089E0,1.352125406E0
8.289677730E-1,4.133589268E0,9.017162323E0,1.347337008E0
8.309606900E-1,4.171896458E0,8.897452354E0,1.380855799E0
8.329536070E-1,4.128800869E0,8.816049576E0,1.385644197E0
8.349465230E-1,4.152742863E0,8.686761856E0,1.447893500E0
8.369394400E-1,4.157531261E0,8.576628685E0,1.481412292E0
8.389323570E-1,4.181473255E0,8.442553520E0,1.519719481E0
8.409252730E-1,4.186261654E0,8.361150742E0,1.490989089E0
8.429181900E-1,4.210203648E0,8.212710381E0,1.481412292E0
