time,X,Y,Z
4.499942528,-3.60866046,10.02332497,1.016937137
4.501935757,-3.761889458,10.1143055,0.6386532784
4.503928986,-3.857657433,10.22443867,0.293289721
4.505922215,-4.02046299,10.33936024,-0.01795651205
4.507915288,-4.121618271,10.48839951,-0.2621650994
4.509908101,-4.236539841,10.59853268,-0.5159504414
4.511900913,-4.394556999,10.83316422,-0.6937199235
4.513893726,-4.633977413,11.05343056,-0.7846996188
4.515886538,-4.79678297,11.29763889,-0.866102457
4.517879351,-4.897339344,11.56638813,-0.8804676533
4.519872163,-5.017049789,11.81538582,-0.8469488621
4.521865028,-5.079298973,12.08832455,-0.8086416125
4.523857944,-5.141548157,12.37562847,-0.7894880176
4.525850913,-5.117606163,12.6683197,-0.703296721
4.527843934,-5.064933777,12.83591366,-0.7224503756
4.529837007,-5.012261391,12.96998882,-0.7559691668
4.531830132,-4.988319397,13.11843014,-0.7894880176
4.533823309,-4.887762547,13.11364079,-0.8469488621
4.535816538,-4.830301762,13.0466032,-0.9187749028
4.537809819,-4.777629375,12.84549046,-0.9570821524
4.539803101,-4.777629375,12.56716442,-0.9858125448
4.541796382,-4.782417774,12.22239971,-1.038484931
4.543789663,-4.772840977,11.81538582,-1.11509943
4.545782944,-4.768052578,11.38861847,-1.206079125
4.547776226,-4.739322186,10.93372059,-1.321000814
4.549769142,-4.705803394,10.48839951,-1.464652896
4.551762059,-4.672284603,10.05684471,-1.63703537
4.553754976,-4.614823818,9.673771858,-1.752555609
4.555747892,-4.552574635,9.28591156,-1.910573006
4.557740809,-4.547786236,8.926182747,-2.025494576
4.559733726,-4.471171856,8.624512672,-2.106897593
4.561726642,-4.399345398,8.337208748,-2.202665567
4.563719559,-4.380191803,8.135497093,-2.260126352
4.565712476,-4.322731018,7.88171196,-2.260126352
4.567705392,-4.236539841,7.723694801,-2.317587137
4.569698361,-4.169502258,7.541735172,-2.30801034
4.571691382,-4.145560265,7.393294811,-2.298433542
4.573684455,-4.159925461,7.254431248,-2.298433542
4.575677528,-4.183867455,7.139509678,-2.351106167
4.577670601,-4.231751442,7.048529625,-2.466027737
4.579663673,-4.341884613,6.942586422,-2.580949545
4.581656746,-4.432864666,6.827664852,-2.724601507
4.583649819,-4.514267445,6.717531204,-2.878428936
4.585642892,-4.581305027,6.645705223,-2.988562346
4.587635965,-4.547786236,6.545148849,-3.12263751
4.589629038,-4.614823818,6.492476463,-3.242347717
4.591622111,-4.662707806,6.411073685,-3.295020103
4.593615184,-4.667496204,6.396708488,-3.338115692
4.595608257,-4.662707806,6.401496887,-3.414730072
4.597601278,-4.691438198,6.401496887,-3.448249102
4.599594246,-4.662707806,6.39192009,-3.433883905
4.601587215,-4.653131008,6.420650482,-3.405153275
4.603580028,-4.600458622,6.444592476,-3.333327293
4.60557284,-4.566939831,6.43022728,-3.175309896
4.607565653,-4.519055843,6.46853447,-3.00771594
4.609558465,-4.452018261,6.511630058,-2.849698544
4.611551278,-4.384980202,6.540360451,-2.691082716
4.61354409,-4.255693436,6.621763229,-2.576161146
4.615536903,-4.16471386,6.626551628,-2.422932148
4.617529715,-4.112041473,6.655282021,-2.26970315
4.619522528,-3.982156038,6.674435616,-2.102109194
4.62151534,-3.876811028,6.703166008,-1.972822189
4.623508153,-3.800196648,6.7318964,-1.8579005
4.625501017,-3.651756048,6.712742805,-1.680131078
4.627493882,-3.565564871,6.76062727,-1.507748485
4.629486746,-3.397970676,6.751050472,-1.344942808
