"event","experiment time","system time","system time text"
"START",0.000000000E0,1726596197.718,"2024-09-17 14:03:17.718 UTC-04:00"
"PAUSE",7.041989702E1,1726596268.138,"2024-09-17 14:04:28.138 UTC-04:00"
