Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
50.00077449,0.5330012441,-4.737788677,-2.014158487,5.175670612
50.00309293,0.4546363056,-4.576871395,-2.273181438,5.13047754
50.00541131,0.4061816335,-4.342973232,-2.323430777,4.942138261
50.00772975,0.3696911037,-4.094119549,-2.201396942,4.663114291
50.01004814,0.404387027,-3.842873096,-1.974078655,4.339146119
50.01235366,0.4540380836,-3.605983734,-1.779661894,4.046784616
50.01468501,0.3505485058,-3.272184849,-1.868794441,3.78450401
50.0170034,0.2907279432,-2.914458036,-2.105684042,3.607283419
50.01930892,0.2859423161,-2.631506681,-2.441875458,3.601297846
50.02164022,0.2303091735,-2.369492531,-2.859423161,3.72073084
50.02395866,0.09571290761,-2.089532375,-3.081955671,3.724749289
50.02626418,-0.1280160099,-1.883749604,-3.180659533,3.698850596
50.02859548,-0.1866401732,-1.899302959,-2.952144861,3.515301633
50.03091392,-0.06101697683,-2.035095692,-2.702095032,3.383290574
50.0332323,-0.05383851007,-2.053640127,-2.397010088,3.156896216
50.03555074,-0.02273181453,-2.042872429,-2.09072876,2.923181699
50.03786918,-0.05982056633,-2.033301115,-1.695314884,2.648015197
50.04018756,-0.1154536903,-1.995614052,-1.362712502,2.419254092
50.042506,-0.1986042857,-2.001596212,-1.128814101,2.306523864
50.04482444,-0.3008974493,-1.980060697,-0.9206385016,2.204258353
50.04714282,-0.4516452849,-1.911267042,-0.8219345808,2.128967267
50.04946126,-0.5862415433,-1.866401672,-0.8715856671,2.141680631
50.05177965,-0.7238288522,-1.860419631,-0.9678967595,2.218538606
50.05409808,-0.9134600163,-1.84606266,-1.122233868,2.345584234
50.05641652,-1.040279627,-1.853839397,-1.338186026,2.511900486
50.05873491,-1.185045362,-1.905883193,-1.530210137,2.716296434
50.06105334,-1.365703583,-1.895713687,-1.627119422,2.847173032
50.06337173,-1.564906001,-1.953141451,-1.695314884,3.02287692
50.06569017,-1.7670995,-2.068595171,-1.691127419,3.203379243
50.0680086,-1.910070658,-2.263610125,-1.619940877,3.375871615
50.07032699,-2.048854351,-2.46819663,-1.485942841,3.535226285
50.07264543,-2.170290232,-2.595614433,-1.381256819,3.654482778
50.07496381,-2.302493572,-2.679961443,-1.238883972,3.744129202
50.07728225,-2.378465652,-2.734398127,-1.124028444,3.794400074
50.07960069,-2.421536446,-2.759522676,-1.019342422,3.810231375
50.08191907,-2.503490686,-2.756531715,-0.8913264275,3.828889593
50.08423751,-2.563909531,-2.699702263,-0.6681957245,3.782659106
50.08655595,-2.544766903,-2.641077995,-0.3158525825,3.681153952
50.08887433,-2.516052961,-2.596212626,0.1423729509,3.618164253
50.09119277,-2.495713949,-2.590230465,0.5910272002,3.645160508
50.09351116,-2.359323025,-2.53280282,1.240678549,3.677061126
50.09581668,-2.124228239,-2.608176708,1.881955028,3.854437194
50.09814803,-1.82632184,-2.690729141,2.505883455,4.105475206
50.10046642,-1.507478237,-2.851048231,3.125026464,4.490741259
50.10277194,-1.205384374,-3.05862546,3.653840065,4.91514887
50.10510324,-0.9361918569,-3.325425386,4.197010994,5.435973738
50.10742168,-0.680758059,-3.577269793,4.702494621,5.947583237
50.1097272,-0.4289134443,-3.882952929,5.202594757,6.506018936
50.1120585,-0.2769692242,-4.156930923,5.72123909,7.077383936
50.11437694,-0.1465603858,-4.41236496,6.311069489,7.701950569
50.11668241,-0.1435693651,-4.69411993,6.842874527,8.299415996
50.11901376,-0.2554338276,-4.945366383,7.392027378,8.897413324
50.1213322,-0.4576273263,-5.228317261,7.850253105,9.443050247
50.12363767,-0.7010970116,-5.545366287,8.38923645,10.08076944
50.12596902,-1.025922656,-5.87318325,8.942576408,10.74785893
50.12828746,-1.438684583,-6.266802311,9.327820778,11.32920408
50.13059293,-1.916052699,-6.584449768,9.783653259,11.94764026
50.13292428,-2.406581402,-6.95055151,10.36451149,12.70924462
50.13524267,-2.82831645,-7.560122967,10.71326542,13.41375746
50.13754819,-3.265006542,-8.193024635,11.35813046,14.38030069
50.13987954,-3.602394581,-8.964112282,11.94257736,15.360915
50.14219793,-3.813561201,-9.803992271,12.40020561,16.26119961
50.14450345,-3.934398651,-10.62772179,12.36670589,16.77388976
50.14683475,-3.854837179,-11.33659554,12.4109726,17.245591
50.14915319,-3.422334671,-12.09452248,12.75374508,17.90664296
50.15145871,-2.891726255,-12.89312649,12.81655598,18.40812045
50.15379001,-2.343171597,-13.55773354,12.62154102,18.67099059
50.15610845,-1.612164259,-14.10808277,12.43191051,18.8729826
50.15841397,-0.6275177598,-14.64227962,12.1292181,19.02388138
50.16074527,0.3170489967,-15.22194099,11.6267252,19.15695034
50.16306371,1.073779106,-15.87219048,10.99382401,19.33762132
50.16536918,1.341177106,-16.57328796,10.26221848,19.53933873
50.16770053,1.149751306,-17.218153,9.440283775,19.66991811
50.17001897,0.513858676,-17.67637825,8.731410027,19.72196542
50.17232444,-0.4875376225,-17.87857246,8.13320446,19.64764772
50.17465579,-1.643869162,-17.82533264,7.573283672,19.43706293
50.17697423,-2.855235577,-17.47538185,7.007380962,19.04323315
50.1792797,-3.913461447,-16.85205078,6.606583118,18.51901014
50.18161105,-4.634299278,-15.96192169,6.25543642,17.75922742
50.18392944,-5.093122959,-14.95514107,5.976672649,16.89132209
50.18623496,-5.353342533,-13.82393456,5.647061348,15.86344051
