"event","experiment time","system time","system time text"
"START",0.000000000E0,1726249144.528,"2024-09-13 13:39:04.528 UTC-04:00"
"PAUSE",8.849143402E1,1726249233.020,"2024-09-13 13:40:33.020 UTC-04:00"
