Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
20.00213841,2.504088879,-15.09990692,0.03469592705,15.30617045
20.0044569,2.669791937,-15.02872086,0.007178467698,15.26401949
20.00677544,2.833101988,-14.89532089,-0.02572284266,15.16237821
20.00909393,3.001197815,-14.86780357,-0.1680957973,15.16861983
20.01141242,3.12921381,-14.79302788,-0.3631108403,15.12473148
20.01373091,3.157927752,-14.71585941,-0.5826523304,15.06215488
20.0160494,3.176471949,-14.64885998,-0.7639086246,15.00875175
20.01836789,3.19382,-14.53340626,-0.8985049129,14.9073034
20.02068643,3.180659533,-14.41376495,-0.87517488,14.78645144
20.02300492,3.12921381,-14.27079391,-0.8291130662,14.63335117
20.02532341,3.06999135,-14.07518101,-0.6831508875,14.42228354
20.0276419,2.938984394,-13.86580944,-0.4905286431,14.18234533
20.02996039,2.812762976,-13.67617798,-0.2787638307,13.96521353
20.03227893,2.659024239,-13.47817135,-0.123828575,13.73851689
20.03459742,2.420340061,-13.14257812,0.0005982056609,13.36358508
20.036903,2.099103689,-12.74596786,0.1525424421,12.91856038
20.0392344,1.746162295,-12.45643616,0.299701035,12.58180056
20.04155289,1.348355532,-12.26859951,0.5521438122,12.35481523
20.04385852,0.8991031051,-12.15853024,0.9577272534,12.22928802
20.04618992,0.484546572,-12.12443256,1.311864972,12.20482036
20.04850841,0.04007977992,-12.16331577,1.551147223,12.26188871
20.05081399,-0.4289134443,-12.16451168,1.723430514,12.29347485
20.05314539,-0.7842476368,-12.11964703,1.929811478,12.29735991
20.05546388,-1.088136077,-12.06879902,2.155933142,12.30804605
20.05776951,-1.324427366,-12.03051376,2.430509567,12.34482669
20.06010091,-1.437488198,-12.0227375,2.796611547,12.42713264
20.0624194,-1.421336651,-12.05025482,3.287738323,12.57131904
20.06472498,-1.377069473,-12.06760311,3.732205153,12.7064047
20.06705638,-1.268794179,-12.12203979,4.110270977,12.86265972
20.06937492,-1.133599758,-12.2482605,4.341178417,13.04418505
20.0716805,-0.9822536707,-12.41216946,4.386641979,13.20111362
20.0740119,-0.8620143533,-12.59701443,4.274777889,13.33047513
20.07633039,-0.7256234884,-12.81057453,3.986442566,13.43611081
20.07864888,-0.6251249313,-13.06840134,3.626920938,13.5767614
20.08096742,-0.6011967063,-13.29930782,3.132802963,13.67653028
20.08328591,-0.6538388133,-13.4650116,2.499303341,13.71060027
20.0856044,-0.7106683254,-13.62114334,1.79820621,13.75769388
20.08792289,-0.8165507317,-13.71625805,0.9726824164,13.77492654
20.09024138,-0.8775677085,-13.84427357,0.08614161611,13.87232699
20.09254696,-0.9523434043,-13.94357586,-0.9583254457,14.00887766
20.09487841,-0.9559326172,-14.05185127,-1.963909149,14.22059318
20.0971969,-0.9230313301,-14.31207085,-2.901895761,14.63244196
20.09950248,-0.8380861282,-15.07956791,-3.839882135,15.58333891
20.10183388,-0.709471941,-15.774683,-4.563711166,16.43689246
20.10415237,-0.5599204898,-16.36810303,-5.268397331,17.20419478
20.106458,-0.4965106845,-16.78505325,-5.870790482,17.78906171
20.1087894,-0.5330012441,-17.0416832,-6.436692715,18.2245458
20.11110789,-0.5922235847,-17.22592926,-6.793821812,18.52672077
20.11341346,-0.6969096065,-17.37787437,-6.941578388,18.72596356
20.11574487,-0.7435696125,-17.63809395,-6.777669907,18.91010479
20.11806341,-0.8213363886,-17.91267014,-6.304489613,19.00749679
20.12036899,-0.9631111026,-18.06880188,-5.922834396,19.03914787
20.12270039,-1.075573802,-18.13281059,-5.384449005,18.94592225
20.12501888,-1.236491084,-18.159729,-4.856233597,18.83846258
20.12732446,-1.512862086,-18.11725616,-4.377070904,18.69979872
20.12965586,-1.787438512,-18.00300026,-3.922434568,18.51184615
20.1319744,-2.02612257,-17.72483444,-3.544966698,18.18905488
20.13429289,-2.175075769,-17.27558136,-3.077169895,17.68178838
20.13661138,-2.32701993,-16.9040947,-2.609373093,17.26187322
20.13892987,-2.478964329,-16.53201103,-2.083550215,16.8461816
20.14123544,-2.55254364,-16.25384521,-1.537986755,16.52478038
20.1435669,-2.632104874,-16.25504303,-1.127617717,16.5053301
20.14588539,-2.77746892,-16.42672729,-0.9182456732,16.68516941
20.14819096,-2.854039192,-16.63370705,-0.2069791555,16.87805054
20.15052237,-3.010769129,-16.71745491,0.589232564,16.99662391
20.15284086,-3.337389469,-16.84008789,0.7160521746,17.18253355
20.15514649,-3.578466177,-16.94656754,0.8195417523,17.33964302
20.15747789,-3.789632797,-16.88315773,1.318445325,17.35340398
20.15979638,-4.015156269,-16.51825333,1.504487276,17.06568647
20.16210196,-4.287938118,-16.24247932,0.7028916478,16.81364341
20.16443336,-4.576273441,-15.87278938,-0.8524430394,16.54129319
20.1667519,-4.82333231,-15.4552412,-2.956332445,16.45809578
20.16905748,-4.909473896,-14.94736481,-5.279164791,16.59506642
20.17138888,-4.884349346,-14.49033546,-7.476374149,17.02124733
20.17370737,-4.816751957,-14.23310757,-9.634101868,17.84932406
20.17601294,-4.631308079,-14.02014637,-11.44666576,18.68260356
20.17834435,-4.356731892,-13.9298172,-12.71366501,19.35608943
20.18066289,-4.006781578,-13.90409374,-13.65045452,19.89253704
20.18296847,-3.544966698,-13.93220997,-14.03270817,20.08955355
20.18529987,-3.012563705,-13.98664665,-13.63669586,19.76515365
20.18761836,-2.502294302,-14.054842,-12.73938751,19.1335322
20.18992393,-1.868794441,-13.95972729,-11.16491032,17.9728017
20.19225539,-1.344766378,-13.68993664,-9.526425362,16.73246969
20.19457388,-1.071386337,-13.24427319,-8.143971443,15.58470121
20.19687946,-1.076770186,-12.62273788,-7.098906517,14.52196335
20.19921086,-1.246062398,-11.91446209,-6.11784935,13.45121404
20.20152935,-1.399203062,-11.301301,-5.041079044,12.45349957
20.20383498,-1.560120344,-10.57268715,-4.069592953,11.43578925
20.20616638,-1.794616938,-9.833304405,-3.323630571,10.5338049
20.20848487,-1.983649969,-9.235696793,-2.514258385,9.775196043
20.21079044,-2.06261301,-8.659625053,-1.660020709,9.055338053
20.2131219,-2.132603168,-8.05424118,-0.8063812256,8.370725652
20.21544039,-2.276172638,-7.408178806,0.1465603858,7.751358271
20.21774597,-2.61714983,-6.918846607,1.241874933,7.500810953
20.22007737,-2.933600664,-6.544968128,2.55254364,7.613021719
20.22239586,-2.995215654,-6.467799664,3.529413462,7.953647508
20.22470143,-2.863610506,-6.747161865,4.013959885,8.356813527
20.22703289,-2.542972326,-7.166503906,4.15334177,8.664625459
20.22935138,-2.181656122,-7.572087288,3.826123476,8.759871585
20.23165696,-1.718046665,-7.916653633,3.594019651,8.862396197
20.23398836,-1.207777262,-8.231309891,3.505485058,9.027824429
20.2363069,-0.7519445419,-8.403593063,3.090928555,8.985523707
20.23861248,-0.3882354796,-8.372486115,2.273779631,8.684429995
