"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.505480804E0,5.279072113E0,5.546565857E0,8.884388131E0
1.005599997E-2,-4.180356903E0,5.326074371E0,5.067262573E0,8.456926276E0
2.011099999E-2,-3.818559265E0,5.296885071E0,5.345683594E0,8.438881407E0
3.016699996E-2,-3.217858429E0,5.265749817E0,6.083499298E0,8.665546591E0
4.022299999E-2,-2.549647980E0,5.159919891E0,7.180268555E0,9.202267907E0
5.027899996E-2,-1.970951385E0,5.022805023E0,8.369844818E0,9.958289107E0
6.033499999E-2,-1.593735809E0,4.912484436E0,9.405690765E0,1.073030829E1
7.039099996E-2,-1.587448883E0,4.625231781E0,9.958940277E0,1.109473994E1
8.044699999E-2,-1.723366241E0,4.216132507E0,1.001432510E1,1.100147589E1
9.050300001E-2,-1.841171265E0,3.716321869E0,9.801467743E0,1.064282527E1
1.005590000E-1,-1.745669861E0,3.345093842E0,9.510323181E0,1.023148391E1
1.106150000E-1,-1.589095459E0,3.384461975E0,9.312285004E0,1.003486219E1
1.206710000E-1,-1.283281403E0,3.657943268E0,9.291178894E0,1.006744085E1
1.307270000E-1,-1.013991394E0,3.839515686E0,9.293124847E0,1.010604911E1
1.407830000E-1,-8.312214661E-1,3.925886078E0,9.207203522E0,1.004370984E1
1.508380000E-1,-6.557862854E-1,3.920048218E0,9.094637604E0,9.925183466E0
1.608940000E-1,-5.611830139E-1,3.872596893E0,8.974587250E0,9.790564303E0
1.709500000E-1,-5.222639465E-1,3.827241211E0,8.872349854E0,9.676731206E0
1.810060000E-1,-5.295986938E-1,3.826193390E0,8.931177521E0,9.730681504E0
1.910620000E-1,-5.177732849E-1,3.817661133E0,9.142088928E0,9.920706410E0
2.011180000E-1,-4.162843323E-1,3.734434204E0,9.350755005E0,1.007749526E1
2.111740000E-1,-2.374063110E-1,3.628903656E0,9.548194427E0,1.021730494E1
2.212300000E-1,-3.353027344E-2,3.562441864E0,9.651180267E0,1.028773040E1
2.312860000E-1,1.516346741E-1,3.553909607E0,9.596244507E0,1.023431362E1
2.413420000E-1,3.767665100E-1,3.603905640E0,9.501341858E0,1.016885372E1
2.513980000E-1,5.427713013E-1,3.693269806E0,9.557475128E0,1.026061272E1
2.614540000E-1,5.159770203E-1,3.820804596E0,9.627978516E0,1.037124633E1
2.715090000E-1,4.718188477E-1,3.833079071E0,9.621691589E0,1.036783764E1
2.815650000E-1,3.076103210E-1,3.723806305E0,9.513616333E0,1.022106908E1
2.916210000E-1,1.278341675E-1,3.574716339E0,9.396110687E0,1.005394622E1
3.016770000E-1,1.233435059E-1,3.400029602E0,9.298363953E0,9.901261895E0
3.117330000E-1,2.254312134E-1,3.317102051E0,9.265282745E0,9.843751805E0
3.217890000E-1,3.427871704E-1,3.334465942E0,9.224866791E0,9.815005526E0
3.318450000E-1,4.589456177E-1,3.398682404E0,9.161099396E0,9.781994444E0
3.419010000E-1,6.095324707E-1,3.469335480E0,9.113348694E0,9.770411604E0
3.519570000E-1,8.057743835E-1,3.530857544E0,9.097182312E0,9.791575633E0
3.620130000E-1,8.384065247E-1,3.637735291E0,9.075327759E0,9.813134946E0
3.720690000E-1,7.759863281E-1,3.701502686E0,9.090895386E0,9.846200070E0
3.821250000E-1,6.677613831E-1,3.679348755E0,9.106912079E0,9.844763082E0
3.921810000E-1,5.900729370E-1,3.607049103E0,9.054970093E0,9.764807867E0
4.022360000E-1,5.860313416E-1,3.500171356E0,8.923693085E0,9.603485332E0
4.122920000E-1,5.553451538E-1,3.468137970E0,8.792865143E0,9.468414156E0
4.223480000E-1,5.029541016E-1,3.547472992E0,8.737779694E0,9.443850985E0
4.324040000E-1,5.465135193E-1,3.696862335E0,8.712182922E0,9.479852289E0
4.424600000E-1,6.815327454E-1,3.845503235E0,8.655151520E0,9.495474177E0
4.525160000E-1,7.667056274E-1,3.969894562E0,8.582851868E0,9.487531108E0
4.625720000E-1,7.707472229E-1,4.095333710E0,8.552764435E0,9.513968097E0
4.726280000E-1,6.782395935E-1,4.130510559E0,8.550070038E0,9.519707142E0
4.826840000E-1,5.545967102E-1,4.084705811E0,8.586743774E0,9.524944499E0
4.927400000E-1,4.640350342E-1,3.999233551E0,8.693322144E0,9.580346935E0
5.027960000E-1,4.144880676E-1,3.918850708E0,8.823251953E0,9.663279270E0
5.128520000E-1,3.721261597E-1,3.870800629E0,8.875792694E0,9.690266835E0
