relative_time,AccX,AccY,AccZ
3268,-4.890817642211914,9.70520305633545,3.3137667179107666
3279,-4.993366241455078,9.832842826843262,2.5223777294158936
3288,-3.4153192043304443,10.232933044433594,1.709191918373108
3298,-4.307944297790527,10.360381126403809,2.047023296356201
3308,-1.8194687366485596,9.716273307800293,0.924085259437561
3319,-2.086738348007202,10.089214324951172,1.1869302988052368
3328,,,0.7061841487884521
3329,-2.0116848945617676,9.716915130615234,
3339,-1.92548406124115,9.2164888381958,0.9146712422370911
3348,-1.42190682888031,8.929529190063477,1.6798293590545654
3360,-0.3267989456653595,9.350162506103516,2.013906717300415
3369,-0.34674742817878723,10.010674476623535,2.1976473331451416
3378,0.5676748156547546,8.224005699157715,0.3615627884864807
3388,0.9107639193534851,10.302220344543457,-1.727617621421814
3398,0.9927988052368164,10.930622100830078,-3.963783025741577
3408,,,-3.624217987060547
3409,,9.820211410522461,
3420,0.8141914010047913,10.558592796325684,-1.4603768587112427
3429,0.5122538208961487,8.160990715026855,-0.23109793663024902
3438,,,-0.5134891867637634
3439,1.1846892833709717,10.608123779296875,
3448,,11.441889762878418,-1.738985300064087
3449,1.633085012435913,,
3458,,11.542417526245117,-1.9396768808364868
3459,1.2299301624298096,,
3468,0.4381006062030792,11.068136215209961,-1.1984511613845825
3478,0.2268170863389969,10.733205795288086,-0.7213729619979858
3490,,10.636001586914062,-0.2162538766860962
3491,0.1542823612689972,,
3499,0.22491130232810974,10.946778297424316,-0.6692272424697876
3508,,11.102315902709961,-0.7453820109367371
3509,-0.06675992161035538,,
3552,0.02611595205962658,11.353544235229492,-0.4085657298564911
3618,-1.5251544713974,6.515589714050293,0.0569915771484375
3684,0.7132901549339294,9.747474670410156,0.470106303691864
3750,-2.3361949920654297,9.466385841369629,1.252311110496521
3816,-5.3852009773254395,9.90007209777832,-0.1123359426856041
3882,-2.4425644874572754,9.296560287475586,0.5753650069236755
3948,-3.4502649307250977,9.361903190612793,-0.1561594158411026
4014,-3.721853494644165,9.024272918701172,-0.32223081588745117
4080,-3.3999674320220947,9.339704513549805,-0.19570204615592957
4146,-3.0958175659179688,9.274131774902344,-0.06085103377699852
4212,-2.869795322418213,9.429620742797852,0.02715982496738434
4278,-3.0451085567474365,9.390375137329102,0.10449253767728806
4346,-2.6645548343658447,9.588174819946289,0.26081475615501404
4410,,,-0.17626112699508667
4411,-3.093088388442993,9.287013053894043,
4476,,,-0.03938940912485123
4477,-3.1531636714935303,9.629325866699219,
4542,-3.05189847946167,9.381813049316406,0.09526050090789795
4608,-3.148576498031616,9.383489608764648,0.20757728815078735
4674,-3.2541415691375732,9.292462348937988,0.13897861540317535
4740,-2.983405351638794,9.411309242248535,0.12763968110084534
4806,-3.071875810623169,9.351033210754395,0.16023913025856018
4872,-3.0342485904693604,9.380741119384766,0.003371036145836115
4938,,,-0.0063685765489935875
4939,-3.102559804916382,9.397404670715332,
5004,-3.219329833984375,9.36412525177002,-0.012449849396944046
5071,-3.1447360515594482,9.36955451965332,0.05246174708008766
5136,-3.1204397678375244,9.431449890136719,0.1337401121854782
5202,-3.1796627044677734,9.379755020141602,0.13242807984352112
5268,-3.2097721099853516,9.355372428894043,0.14578773081302643
5334,-3.217280387878418,9.358024597167969,0.13389334082603455
5400,-3.000739336013794,9.505478858947754,0.14413093030452728
5466,-3.106065034866333,9.440462112426758,0.1196717768907547
5532,-3.3259387016296387,9.349041938781738,-0.027849353849887848
5598,-3.303366184234619,9.379706382751465,0.04140053689479828
5664,-3.1565346717834473,9.396198272705078,0.11170387268066406
5730,,,0.057211846113204956
5731,-3.02180814743042,9.456158638000488,
5796,-3.147944450378418,9.35448169708252,0.010275913402438164
5862,-3.2733142375946045,9.309891700744629,-0.14759774506092072
5928,-3.1197502613067627,9.664434432983398,-0.02198834717273712
5994,-2.5742650032043457,9.883015632629395,0.2375526875257492
6060,-1.95993173122406,9.85291576385498,0.28190287947654724
6126,-2.1646358966827393,9.806784629821777,-0.12446018308401108
6192,-3.035426378250122,9.435117721557617,-1.4910130500793457
6258,-3.8673062324523926,9.22353744506836,-1.538466215133667
6324,-1.810543179512024,9.305505752563477,-1.710819959640503
6390,-3.8977317810058594,7.606388092041016,-2.654125690460205
6456,-4.545880317687988,7.168182849884033,-4.151459693908691
6522,-3.2764267921447754,8.192288398742676,-4.000471591949463
6588,-2.5859484672546387,7.38541316986084,-4.750258922576904
6654,-2.3015077114105225,15.628984451293945,-0.8331630229949951
6720,-3.748189687728882,4.404153347015381,-0.48328396677970886
6786,-3.34761118888855,12.30000114440918,3.296107292175293
6852,-5.43603515625,7.527331829071045,-1.035166621208191
6918,-4.481016635894775,8.961400985717773,-0.2081902027130127
6984,-5.015287399291992,8.43569278717041,-0.5267052054405212
7050,-4.93828010559082,8.496054649353027,0.09813353419303894
