relative_time,AccX,AccY,AccZ
0,-0.06451583862304688,3.482208709716797,8.990454254150391
48,0.2496807861328125,3.263214111328125,9.11828842163086
115,-0.13636642456054687,3.453318786621094,9.470505981445314
182,0.07379653930664062,3.339854736328125,9.193881225585939
248,0.24743545532226563,3.630250854492188,8.801846466064454
315,0.5650749206542969,4.4176135253906255,8.648714904785157
382,4.921016693115234,3.798201599121094,7.3075039672851565
448,4.203558654785157,3.926035766601563,8.28152847290039
515,-0.9562115478515626,5.192701721191407,7.689359893798828
582,2.9969178771972658,1.8827847290039064,7.494914245605469
648,4.784949645996094,0.5544470214843751,5.256618804931641
715,6.927444305419923,-0.257464599609375,5.2452424621582034
782,8.78059066772461,0.6795867919921875,4.432432708740235
848,11.081455993652344,2.519261169433594,3.891757049560547
915,12.451107788085938,2.910697174072266,-0.6691085815429688
982,11.567345581054688,3.618724822998047,-0.40475830078125
1048,11.249556427001954,2.852168884277344,-3.2636631774902347
1115,8.842711486816407,5.339396667480469,-6.187982025146485
1182,6.960375823974609,1.0121951293945313,-4.942272491455078
1248,8.597371673583984,-5.225782928466797,0.46223876953125004
1399,11.55402328491211,-3.0491592407226564,3.9652542114257816
1454,9.58292221069336,3.1763946533203127,-2.0698956298828124
1522,6.454877014160156,-6.570885772705078,3.1668145751953127
1582,8.09606414794922,-8.00505340576172,-0.06331832885742188
1673,2.8883935546875,-7.120692443847656,0.25237518310546875
1715,4.520449676513672,-10.244995422363282,-2.7556196594238282
1782,0.42032592773437505,-8.993448028564453,-0.3565585327148438
1848,1.8736537170410157,-13.407918090820313,-0.8080197143554688
1915,2.0984861755371096,-8.723259887695313,-1.2070898437500002
1982,2.9559031677246095,-8.627908172607423,-1.2286450195312502
2048,3.1623239135742187,-10.216554565429687,-3.746708679199219
2115,2.3239173889160156,-8.027806091308594,-2.2685325622558596
2182,2.145638122558594,-3.865711212158203,-0.4189787292480469
2248,1.7109420776367188,-15.327825622558594,-2.840642852783203
2315,2.2135968017578125,-12.709769897460939,-4.973557434082031
2381,-0.128133544921875,-9.403894500732422,1.8769468688964845
2448,-1.064436492919922,-12.292737121582032,3.6164794921875
2515,-1.5979270935058594,-4.603526916503906,-8.310119018554689
2582,-0.19100280761718752,-11.908935241699218,-1.9844233703613283
2648,-0.43424697875976564,-9.66674789428711,-1.884730682373047
2715,0.05912704467773438,-9.992320861816406,-0.2796185302734375
2782,1.2554393005371094,-9.408684539794923,-0.7108717346191407
2848,2.442321166992188,-8.983867950439453,-1.8377284240722658
2915,3.157683563232422,-10.363399200439453,-1.208137664794922
2982,2.551444244384766,-9.54070999145508,-0.6539900207519531
3050,1.3102253723144532,-8.862320709228516,-1.2620256042480469
3115,1.8537451171875001,-9.53307586669922,-1.0075547790527344
3182,2.7328669738769533,-9.874815216064453,-0.6010002136230469
3250,2.1058209228515627,-9.066795501708985,-0.8087681579589844
3315,1.751956787109375,-9.396709442138672,-1.0434800720214845
3382,2.3715184020996096,-9.597142639160158,-0.8533753967285157
3450,1.9422111511230469,-9.521549835205079,-0.8241860961914063
3515,1.9935543823242188,-9.633816375732422,-0.8696914672851563
3582,1.9109262084960938,-9.609417114257813,-0.8349636840820313
3650,2.4013064575195315,-9.405541076660157,-0.8970845031738282
3715,2.6376649475097658,-9.473050689697265,-0.8650511169433595
3782,2.6095234680175783,-9.485923919677735,-0.8149053955078125
3850,2.295775909423828,-9.519304504394531,-0.8387059020996094
3915,2.4025039672851562,-9.536818084716797,-0.7711962890625
3982,2.348616027832031,-9.384285278320313,-0.7894583129882813
4050,2.4517515563964847,-9.62887664794922,-0.8381071472167969
4115,3.041076049804688,-9.49430648803711,-0.9864486694335938
4182,2.3631358337402344,-9.588460693359375,-0.5649252319335938
4250,2.3971151733398437,-9.783355407714843,-1.4820680236816406
4315,2.0616627502441407,-9.375154266357422,-1.7113911437988283
4382,1.5816110229492188,-8.95976806640625,-0.731678466796875
4450,0.7696994018554688,-9.643396453857422,-1.569935302734375
4515,3.3418006896972656,-8.90602981567383,-7.402256927490234
4582,2.674937438964844,-8.115823059082032,-2.9388386535644533
4649,2.7867549133300784,-8.030350799560548,-3.1642698669433593
4715,3.047662353515625,-7.925718383789063,-3.7181181335449223
4782,3.1379246520996094,-7.678731994628906,-3.660487976074219
