relative_time,AccX,AccY,AccZ
3344,-0.79473876953125,-9.887802124023438,2.372894287109375
3402,-0.3273773193359375,-10.417892456054688,2.5296630859375
3463,-0.2988739013671875,-11.470046997070312,2.95196533203125
3519,-0.8406829833984375,-9.49383544921875,2.6368408203125
3580,-2.2079010009765625,-8.452880859375,1.0084228515625
3637,-1.944915771484375,-7.8891754150390625,0.0950469970703125
3697,,,-0.3512725830078125
3698,-2.25543212890625,-10.033523559570312,
3754,,,0.7396697998046875
3755,-2.378997802734375,-12.086624145507812,
3815,-2.5786285400390625,-9.799728393554688,0.582916259765625
3871,-1.8546142578125,-8.504135131835938,-1.53497314453125
3933,-1.8482818603515625,-9.346511840820312,-0.6071929931640625
3989,-0.918304443359375,-8.962142944335938,-0.50482177734375
4047,-0.227569580078125,-8.912490844726562,-0.27288818359375
4106,0.642181396484375,-8.723526000976562,-1.3478240966796875
4165,1.1998443603515625,-9.434585571289062,-1.1750640869140625
4223,1.75592041015625,-10.52197265625,-1.560577392578125
4282,1.4485626220703125,-9.919830322265625,-2.0308685302734375
4341,-0.761474609375,-13.548751831054688,0.3877716064453125
4399,-2.1572113037109375,-10.228912353515625,-1.67254638671875
4458,-1.7120361328125,-7.2453765869140625,0.0342559814453125
4517,-1.9734344482421875,-9.324081420898438,0.9188385009765625
4575,,,2.5760498046875
4576,-1.3508148193359375,-9.703628540039062,
4634,-0.28778076171875,-9.085464477539062,2.4928741455078125
4693,-0.2814483642578125,-9.14471435546875,2.4208831787109375
4752,-1.5900421142578125,-9.49383544921875,2.1169586181640625
4810,-2.1730499267578125,-9.825347900390625,0.6852874755859375
4869,-2.125518798828125,-9.4185791015625,0.128631591796875
4928,-1.2842864990234375,-9.47943115234375,-0.0729217529296875
4986,-0.7187042236328125,-9.871780395507812,0.774871826171875
5045,0.0274810791015625,-10.075164794921875,1.019622802734375
5104,0.4885101318359375,-10.081588745117188,1.6626739501953125
5162,0.844970703125,-13.103546142578125,2.886383056640625
5223,-0.1309356689453125,-10.233718872070312,2.718414306640625
5280,-0.86761474609375,-6.575958251953125,0.0454559326171875
5338,,,-1.8213043212890625
5339,-1.289031982421875,-8.528152465820312,
5397,-2.367919921875,-13.170822143554688,2.472076416015625
5456,-1.5504302978515625,-8.233489990234375,2.3904876708984375
5514,,,2.4432830810546875
5515,-2.703765869140625,-9.354522705078125,
5573,-2.25701904296875,-10.465927124023438,-1.8053131103515625
5632,-1.7088623046875,-9.277633666992188,-0.757568359375
5690,,,-0.5064239501953125
5691,-1.66448974609375,-9.730865478515625,
5749,-0.3099517822265625,-8.657867431640625,-0.9831085205078125
5808,0.425140380859375,-8.702713012695312,-0.15771484375
5867,1.2220306396484375,-9.420166015625,-0.6024017333984375
5925,0.44256591796875,-10.497955322265625,-2.138031005859375
5984,0.0322418212890625,-9.940658569335938,-2.0804443359375
6043,-0.123016357421875,-11.079299926757812,0.1846160888671875
6101,-0.50958251953125,-10.544403076171875,0.7156829833984375
6160,-0.1182708740234375,-9.8621826171875,-2.36517333984375
6219,-1.6343994140625,-8.826019287109375,-0.5496063232421875
6277,-1.3587493896484375,-9.420166015625,1.235565185546875
6336,-1.12109375,-9.489028930664062,2.3313140869140625
6395,-0.6236419677734375,-9.0694580078125,2.1153564453125
6453,-0.57928466796875,-9.107879638671875,1.9713897705078125
6512,-0.72027587890625,-9.657180786132812,1.7778472900390625
6571,-1.0545654296875,-9.951873779296875,1.52349853515625
6629,,,0.8564453125
6630,-1.290618896484375,-9.581924438476562,
6688,-1.651824951171875,-9.52105712890625,0.642120361328125
6747,-1.4569549560546875,-10.052749633789062,1.5171051025390625
6806,-0.785247802734375,-10.120025634765625,2.0017852783203125
6864,0.3348388671875,-11.759918212890625,2.5920562744140625
6924,0.781585693359375,-10.744583129882812,2.972747802734375
6982,0.204925537109375,-8.183837890625,1.6898651123046875
7040,-0.9246368408203125,-7.8363189697265625,-0.95751953125
7099,-0.818511962890625,-10.14404296875,-1.584564208984375
7158,-1.52508544921875,-13.758544921875,2.2641143798828125
7216,,,1.6658477783203125
7217,-1.914825439453125,-9.02301025390625,
7275,-2.3710784912109375,-8.665878295898438,1.8066253662109375
7334,-1.707275390625,-9.047027587890625,1.067596435546875
7392,,,-1.930084228515625
7393,0.537628173828125,-10.268951416015625,
7451,-0.3875885009765625,-9.7420654296875,-0.64398193359375
7510,-0.50164794921875,-9.11749267578125,-0.739959716796875
7569,0.2160186767578125,-8.600234985351562,-0.1992950439453125
7627,0.673858642578125,-8.882080078125,1.1987762451171875
7686,1.065185546875,-10.007919311523438,-0.55120849609375
7745,1.6719512939453125,-10.538009643554688,-2.31719970703125
7804,,,0.059844970703125
7805,1.46124267578125,-10.110397338867188,
7862,0.2904815673828125,-13.073135375976562,0.290191650390625
7921,-1.325469970703125,-9.420166015625,-2.27880859375
7979,,,0.64691162109375
7980,-1.501312255859375,-8.207855224609375,
8038,-1.3286285400390625,-10.065567016601562,1.345947265625
8097,-0.561859130859375,-8.971771240234375,1.635467529296875
8155,,,1.4563140869140625
8156,-0.2972869873046875,-9.5675048828125,
